source_path,label,task,domain,is_unknown,split,regime,dataset,label_name,artifact_index,artifact_key,raw_source_path,raw_artifact_index,feature_model
/scratch/nickyun/new_study/opensemcom/data/features/apple__DFN5B-CLIP-ViT-H-14-378/98740dcb3dcee389110dbe1f.npy,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,3,apple/DFN5B-CLIP-ViT-H-14-378
/scratch/nickyun/new_study/opensemcom/data/features/apple__DFN5B-CLIP-ViT-H-14-378/939353b58fd9d7294efb50ae.npy,1,classification,cifar10,false,calibration,closed-id,cifar10,automobile,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,4,apple/DFN5B-CLIP-ViT-H-14-378
/scratch/nickyun/new_study/opensemcom/data/features/apple__DFN5B-CLIP-ViT-H-14-378/810a85cc6231329e04950845.npy,1,classification,cifar10,false,calibration,closed-id,cifar10,automobile,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,5,apple/DFN5B-CLIP-ViT-H-14-378
/scratch/nickyun/new_study/opensemcom/data/features/apple__DFN5B-CLIP-ViT-H-14-378/8e3ce9df56a6d3d5bc0070a3.npy,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,6,apple/DFN5B-CLIP-ViT-H-14-378
/scratch/nickyun/new_study/opensemcom/data/features/apple__DFN5B-CLIP-ViT-H-14-378/462a3d536416db8be2a74bf8.npy,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,9,apple/DFN5B-CLIP-ViT-H-14-378
/scratch/nickyun/new_study/opensemcom/data/features/apple__DFN5B-CLIP-ViT-H-14-378/b3361e73cd7a80f64c6ea2a9.npy,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,10,apple/DFN5B-CLIP-ViT-H-14-378
/scratch/nickyun/new_study/opensemcom/data/features/apple__DFN5B-CLIP-ViT-H-14-378/ac5e3a5585cb22884f85fe47.npy,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,13,apple/DFN5B-CLIP-ViT-H-14-378
/scratch/nickyun/new_study/opensemcom/data/features/apple__DFN5B-CLIP-ViT-H-14-378/64182c05cfc17a71e986f8a4.npy,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,17,apple/DFN5B-CLIP-ViT-H-14-378
/scratch/nickyun/new_study/opensemcom/data/features/apple__DFN5B-CLIP-ViT-H-14-378/747331e526c4bb33a34ae9ac.npy,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,18,apple/DFN5B-CLIP-ViT-H-14-378
/scratch/nickyun/new_study/opensemcom/data/features/apple__DFN5B-CLIP-ViT-H-14-378/c7580b5cb0a1289688158582.npy,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,20,apple/DFN5B-CLIP-ViT-H-14-378
