source_path,label,task,domain,is_unknown,split,regime,dataset,label_name,artifact_index,artifact_key,raw_source_path,raw_artifact_index,feature_model
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip2-base-patch16-224/c32e3d03614d59690730377e.npy,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,3,google/siglip2-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip2-base-patch16-224/9144020b09cc138d3f8d402c.npy,1,classification,cifar10,false,calibration,closed-id,cifar10,automobile,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,4,google/siglip2-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip2-base-patch16-224/b94ce8ffe0cfbc93e7e251b4.npy,1,classification,cifar10,false,calibration,closed-id,cifar10,automobile,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,5,google/siglip2-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip2-base-patch16-224/01b5e4cd2721c906b192688d.npy,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,6,google/siglip2-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip2-base-patch16-224/2c9b148734a9cfb8b3722162.npy,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,9,google/siglip2-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip2-base-patch16-224/7a89a1da9e1859d855f130c8.npy,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,10,google/siglip2-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip2-base-patch16-224/4ab6beec5941842e7d4d6157.npy,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,13,google/siglip2-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip2-base-patch16-224/602120e827738f89f8b92e93.npy,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,17,google/siglip2-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip2-base-patch16-224/e30aa36be512634fca571af0.npy,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,18,google/siglip2-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip2-base-patch16-224/13c48ada6b3f5fad2e0ec7f4.npy,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,20,google/siglip2-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip2-base-patch16-224/8f7d45e96684a565562cdeaa.npy,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,21,google/siglip2-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip2-base-patch16-224/a43d8503df40a395c27a0e96.npy,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,24,google/siglip2-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip2-base-patch16-224/2e0a63d23c590bc88ebcbc96.npy,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,26,google/siglip2-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip2-base-patch16-224/9b97bfa82ee35dfdee74c570.npy,5,classification,cifar10,false,calibration,closed-id,cifar10,dog,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,27,google/siglip2-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip2-base-patch16-224/f1e517de32d685a87f8817ad.npy,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,28,google/siglip2-base-patch16-224
