source_path,label,task,domain,is_unknown,split,regime,dataset,label_name,artifact_index,artifact_key,raw_source_path,raw_artifact_index,feature_model
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip-base-patch16-224/db8913722345374479205128.npy,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,3,google/siglip-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip-base-patch16-224/a0bca7cf8c6677924145a496.npy,1,classification,cifar10,false,calibration,closed-id,cifar10,automobile,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,4,google/siglip-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip-base-patch16-224/6a51d2ee15ed5b8c50552c11.npy,1,classification,cifar10,false,calibration,closed-id,cifar10,automobile,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,5,google/siglip-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip-base-patch16-224/d7b528de9261b844066bab42.npy,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,6,google/siglip-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip-base-patch16-224/c83b8ac4c233ec13a8bc74a9.npy,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,9,google/siglip-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip-base-patch16-224/95418d4190d497ad4dc7e562.npy,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,10,google/siglip-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip-base-patch16-224/07fbe66b44978c8d2d78c257.npy,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,13,google/siglip-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip-base-patch16-224/0f0b0b08442ceccb2ef50722.npy,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,17,google/siglip-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip-base-patch16-224/3b23d4bc294918867b35109e.npy,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,18,google/siglip-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip-base-patch16-224/064ffdbd7b6024dc6d5c7f21.npy,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,20,google/siglip-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip-base-patch16-224/bf70a9423e87243d39452cbc.npy,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,21,google/siglip-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip-base-patch16-224/46781fdf5fb95ee0128cd1bf.npy,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,24,google/siglip-base-patch16-224
/scratch/nickyun/new_study/opensemcom/data/features/google__siglip-base-patch16-224/3877f182851617218daf69bb.npy,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,,,/scratch/nickyun/New-Jepa/data/cifar/cifar-10-batches-py/data_batch_1,26,google/siglip-base-patch16-224
