source_path,label,task,domain,is_unknown,split,regime,dataset,label_name,artifact_index,artifact_key,raw_source_path,raw_artifact_index,feature_model
/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/features/rorqual_dino_vitb16/0902e66099c401cfb5735a9d.npy,0,classification,cifar10,false,calibration,closed-id,cifar10,airplane,,,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/cifar10/cifar-10-batches-py/data_batch_1,0,/home/nickyun/links/scratch/scratch/ahmed/opensemcomm/cache/transformers/models--facebook--dinov3-vitb16-pretrain-lvd1689m/snapshots/5931719e67bbdb9737e363e781fb0c67687896bc
/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/features/rorqual_dino_vitb16/5f25eb946db7e62900de7153.npy,0,classification,cifar10,false,calibration,closed-id,cifar10,airplane,,,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/cifar10/cifar-10-batches-py/data_batch_1,2,/home/nickyun/links/scratch/scratch/ahmed/opensemcomm/cache/transformers/models--facebook--dinov3-vitb16-pretrain-lvd1689m/snapshots/5931719e67bbdb9737e363e781fb0c67687896bc
/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/features/rorqual_dino_vitb16/5287f63e2ff2dba34cb50554.npy,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,,,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/cifar10/cifar-10-batches-py/data_batch_1,3,/home/nickyun/links/scratch/scratch/ahmed/opensemcomm/cache/transformers/models--facebook--dinov3-vitb16-pretrain-lvd1689m/snapshots/5931719e67bbdb9737e363e781fb0c67687896bc
/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/features/rorqual_dino_vitb16/0014372c59247631260095a0.npy,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,,,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/cifar10/cifar-10-batches-py/data_batch_1,5,/home/nickyun/links/scratch/scratch/ahmed/opensemcomm/cache/transformers/models--facebook--dinov3-vitb16-pretrain-lvd1689m/snapshots/5931719e67bbdb9737e363e781fb0c67687896bc
/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/features/rorqual_dino_vitb16/559dac56f277a51db2e13dcd.npy,1,classification,cifar10,false,calibration,closed-id,cifar10,automobile,,,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/cifar10/cifar-10-batches-py/data_batch_1,6,/home/nickyun/links/scratch/scratch/ahmed/opensemcomm/cache/transformers/models--facebook--dinov3-vitb16-pretrain-lvd1689m/snapshots/5931719e67bbdb9737e363e781fb0c67687896bc
/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/features/rorqual_dino_vitb16/246c58df81f1604f42a6a687.npy,2,classification,cifar10,false,calibration,closed-id,cifar10,bird,,,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/cifar10/cifar-10-batches-py/data_batch_1,7,/home/nickyun/links/scratch/scratch/ahmed/opensemcomm/cache/transformers/models--facebook--dinov3-vitb16-pretrain-lvd1689m/snapshots/5931719e67bbdb9737e363e781fb0c67687896bc
/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/features/rorqual_dino_vitb16/f80b79b07d519652ab9f7273.npy,4,classification,cifar10,false,calibration,closed-id,cifar10,deer,,,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/cifar10/cifar-10-batches-py/data_batch_1,8,/home/nickyun/links/scratch/scratch/ahmed/opensemcomm/cache/transformers/models--facebook--dinov3-vitb16-pretrain-lvd1689m/snapshots/5931719e67bbdb9737e363e781fb0c67687896bc
/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/features/rorqual_dino_vitb16/2b24da2efab4ed94bab4d8aa.npy,1,classification,cifar10,false,calibration,closed-id,cifar10,automobile,,,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/cifar10/cifar-10-batches-py/data_batch_1,9,/home/nickyun/links/scratch/scratch/ahmed/opensemcomm/cache/transformers/models--facebook--dinov3-vitb16-pretrain-lvd1689m/snapshots/5931719e67bbdb9737e363e781fb0c67687896bc
/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/features/rorqual_dino_vitb16/6932850e34b8f38ae01b9189.npy,5,classification,cifar10,false,calibration,closed-id,cifar10,dog,,,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/cifar10/cifar-10-batches-py/data_batch_1,10,/home/nickyun/links/scratch/scratch/ahmed/opensemcomm/cache/transformers/models--facebook--dinov3-vitb16-pretrain-lvd1689m/snapshots/5931719e67bbdb9737e363e781fb0c67687896bc
/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/features/rorqual_dino_vitb16/35e3e594475fe265c6b314f9.npy,3,classification,cifar10,false,calibration,closed-id,cifar10,cat,,,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/data/cifar10/cifar-10-batches-py/data_batch_1,13,/home/nickyun/links/scratch/scratch/ahmed/opensemcomm/cache/transformers/models--facebook--dinov3-vitb16-pretrain-lvd1689m/snapshots/5931719e67bbdb9737e363e781fb0c67687896bc
