row_type,task,target_openout,resource_budget,method,n_seeds,semantic_goodput_mean,semantic_goodput_std,semantic_goodput_ci95,accepted_open_outage_mean,accepted_open_outage_std,accepted_open_outage_ci95,coverage_mean,coverage_std,coverage_ci95,accepted_known_accuracy_mean,accepted_known_accuracy_std,accepted_known_accuracy_ci95,accepted_mean,accepted_std,accepted_ci95,resource_per_sample_mean,resource_per_sample_std,resource_per_sample_ci95,goodput_per_resource_mean,goodput_per_resource_std,goodput_per_resource_ci95,refine_rate_mean,refine_rate_std,refine_rate_ci95,reject_rate_mean,reject_rate_std,reject_rate_ci95,accuracy_mean,accuracy_std,accuracy_ci95
OpenSemCom,deepsense-beam,0.01,0.6,opensemcom_progressive,3,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.0,0.0,0.0,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,1.7320508075688772,1.96,0.1068702290076336,0.011899585700854884,0.013465648854961836,0.06329113924050632,0.10962346883347324,0.1240506329113924,0.0,0.0,0.0,0.9923664122137404,0.01322176188983878,0.014961832061068728,0.9033078880407125,0.015890580148596397,0.017981884223688047
best_comparison,deepsense-beam,0.01,0.6,dino_detector,3,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.0,0.0,0.0,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.3333333333333333,1.5275252316519468,1.728557523228866,0.10916030534351145,0.010494448156387422,0.011875586037450227,0.08710066305003013,0.0959019787655925,0.10852330518201991,0.0,0.0,0.0,0.989821882951654,0.011660497951541598,0.013195095597166938,0.9033078880407125,0.015890580148596397,0.017981884223688047
OpenSemCom,deepsense-beam,0.02,0.6,opensemcom_progressive,3,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.0,0.0,0.0,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,1.7320508075688772,1.96,0.1068702290076336,0.011899585700854884,0.013465648854961836,0.06329113924050632,0.10962346883347324,0.1240506329113924,0.0,0.0,0.0,0.9923664122137404,0.01322176188983878,0.014961832061068728,0.9033078880407125,0.015890580148596397,0.017981884223688047
best_comparison,deepsense-beam,0.02,0.6,dino_detector,3,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.0,0.0,0.0,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.3333333333333333,1.5275252316519468,1.728557523228866,0.10916030534351145,0.010494448156387422,0.011875586037450227,0.08710066305003013,0.0959019787655925,0.10852330518201991,0.0,0.0,0.0,0.989821882951654,0.011660497951541598,0.013195095597166938,0.9033078880407125,0.015890580148596397,0.017981884223688047
OpenSemCom,deepsense-beam,0.05,0.6,opensemcom_progressive,3,0.2188295165394402,0.19690119208298326,0.22281467425562246,0.006535947712418301,0.011320593513522074,0.01281045751633987,0.22137404580152673,0.20008156369589553,0.2264136035330248,0.6601307189542484,0.5717740300664358,0.647023224742008,29.0,26.210684844162312,29.660182062826248,0.3427480916030534,0.2249876169309643,0.2545974559508723,0.47232267916577203,0.4091071846907054,0.4629483606888339,0.05343511450381679,0.05005678262825955,0.05664458197337678,0.7786259541984734,0.20008156369589553,0.2264136035330248,0.9033078880407125,0.015890580148596397,0.017981884223688047
best_comparison,deepsense-beam,0.05,0.6,ensemble_detector,3,0.27989821882951654,0.25413466101066384,0.2875804412920453,0.014705882352941178,0.025471335405424667,0.02882352941176471,0.2875318066157761,0.2640309304346211,0.2987791243711991,0.6519607843137255,0.5650453432316098,0.6394089987974643,37.666666666666664,34.58805188693537,39.140065292627085,0.4162849872773537,0.2904340234780832,0.328657036808319,0.4861088394329407,0.42110891636298775,0.47652959859183225,0.0,0.0,0.0,0.712468193384224,0.2640309304346211,0.2987791243711991,0.9083969465648855,0.0201965748936228,0.022854575985021462
OpenSemCom,deepsense-beam,0.1,0.6,opensemcom_progressive,3,0.4809160305343511,0.09923664122137404,0.11229683098436385,0.009324465310380803,0.008075816157445183,0.009138646279556736,0.4860050890585242,0.10364077279601172,0.11728057502268449,0.9906755346896192,0.008075816157445162,0.009138646279556711,63.666666666666664,13.576941236277534,15.363755327971667,0.5374045801526718,0.09327669551641056,0.10555251752041606,0.8910304337561126,0.0333234001316777,0.03770897711122195,0.0,0.0,0.0,0.5139949109414758,0.1036407727960117,0.11728057502268446,0.9033078880407125,0.015890580148596397,0.017981884223688047
best_comparison,deepsense-beam,0.1,0.6,dino_detector,3,0.49109414758269715,0.12269275777344726,0.13883992558710997,0.00895863395863396,0.007771498365128071,0.00879427827930232,0.4961832061068702,0.12704822119918505,0.1437685964304487,0.9910413660413661,0.007771498365128056,0.008794278279302303,65.0,16.64331697709324,18.833686132388777,0.5465648854961832,0.11434339907926655,0.12939173678740384,0.8925972326859354,0.04240666235529225,0.04798765593547264,0.0,0.0,0.0,0.5038167938931298,0.12704822119918502,0.14376859643044868,0.9033078880407125,0.015890580148596397,0.017981884223688047
OpenSemCom,deepsense-beam,0.01,0.8,opensemcom_progressive,3,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.0,0.0,0.0,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,1.7320508075688772,1.96,0.1068702290076336,0.011899585700854884,0.013465648854961836,0.06329113924050632,0.10962346883347324,0.1240506329113924,0.0,0.0,0.0,0.9923664122137404,0.01322176188983878,0.014961832061068728,0.9033078880407125,0.015890580148596397,0.017981884223688047
best_comparison,deepsense-beam,0.01,0.8,dino_detector,3,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.0,0.0,0.0,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.3333333333333333,1.5275252316519468,1.728557523228866,0.10916030534351145,0.010494448156387422,0.011875586037450227,0.08710066305003013,0.0959019787655925,0.10852330518201991,0.0,0.0,0.0,0.989821882951654,0.011660497951541598,0.013195095597166938,0.9033078880407125,0.015890580148596397,0.017981884223688047
