row_type,task,target_openout,resource_budget,method,n_seeds,semantic_goodput_mean,semantic_goodput_std,semantic_goodput_ci95,accepted_open_outage_mean,accepted_open_outage_std,accepted_open_outage_ci95,coverage_mean,coverage_std,coverage_ci95,accepted_known_accuracy_mean,accepted_known_accuracy_std,accepted_known_accuracy_ci95,accepted_mean,accepted_std,accepted_ci95,resource_per_sample_mean,resource_per_sample_std,resource_per_sample_ci95,goodput_per_resource_mean,goodput_per_resource_std,goodput_per_resource_ci95,refine_rate_mean,refine_rate_std,refine_rate_ci95,reject_rate_mean,reject_rate_std,reject_rate_ci95,accuracy_mean,accuracy_std,accuracy_ci95,auroc_mean,auroc_std,auroc_ci95,fpr95_mean,fpr95_std,fpr95_ci95
opensemcom_progressive,full-open,0.05,0.3,opensemcom_progressive,5,0.28437500000000004,0.010511236319617076,0.009213504863785566,0.0023809523809523807,0.003549314249999666,0.0031111111111111105,0.28504464285714287,0.010155636755426202,0.008901808102851929,0.9976190476190476,0.0035493142499996534,0.0031111111111110997,255.4,9.09945053286186,7.9760200601553155,0.3565401785714285,0.00914007307988356,0.008011627292566718,0.7974141942462156,0.009227766748391309,0.008088494182126746,0.0,0.0,0.0,0.7149553571428571,0.010155636755426167,0.0089018081028519,0.8618303571428572,0.2422600080728959,0.21235025974201208,0.9967720657442888,0.0019201829067966732,0.0016831145274615576,0.007838423346559487,0.0026315445045468878,0.0023066504600092754
opensemcom_receiver_only,full-open,0.05,0.3,opensemcom_receiver_only,5,0.21875,0.01418333150350316,0.012432238208584965,0.0019658986620296574,0.0026922561430495814,0.0023598665574905025,0.21919642857142857,0.01447884931502655,0.012691270991315248,0.9980341013379703,0.002692256143049575,0.002359866557490497,196.4,12.973048986263793,11.371378808218465,0.34111607142857137,0.015926734246529194,0.013960398090446762,0.6408181026435693,0.012402989448226062,0.010871699591934863,0.0,0.0,0.0,0.7808035714285715,0.014478849315026533,0.012691270991315232,0.428125,0.0006112974972155698,0.000535825881233805,0.9984208272340114,0.0011904788001993914,0.0010435006770231458,0.0015625,0.002329237476562281,0.0020416666666666665
opensemcom_no_channel,full-open,0.05,0.3,opensemcom_no_channel,5,0.21696428571428572,0.012957968994374987,0.011358160612528766,0.0030563071769101917,0.004575499183920544,0.004010601864846529,0.21763392857142855,0.01301551762242254,0.01140860420910463,0.9969436928230898,0.004575499183920532,0.00401060186484652,195.0,11.661903789690601,10.222109371357753,0.33939732142857143,0.014317069384664793,0.012549464630015092,0.6388902576551023,0.011369124863611184,0.009965477327569312,0.0,0.0,0.0,0.7823660714285714,0.013015517622422538,0.011408604209104629,0.428125,0.0006112974972155698,0.000535825881233805,0.9985552949252895,0.0012047298191476409,0.0010559922458929798,0.001043026544821584,0.0014282249398182908,0.0012518943566169438
best_comparison,full-open,0.05,0.3,dino_detector,5,0.2694196428571428,0.014839973338030945,0.01300781015390369,0.006447991263984774,0.005925773982070242,0.005194169909737802,0.27120535714285715,0.015684675583208924,0.013748224317161835,0.9935520087360153,0.00592577398207025,0.00519416990973781,243.0,14.053469322555197,12.318408988177003,0.34408482142857144,0.014116208024888038,0.012373401885445655,0.7826492632568361,0.011559428873888396,0.010132286147290611,0.0,0.0,0.0,0.7287946428571429,0.015684675583208924,0.013748224317161835,0.9660714285714285,0.009555292318305356,0.008375583002096034,0.9921142245835265,0.0026613896921440267,0.0023328109203705023,0.01746707846096955,0.011691635340677697,0.010248170224838543
opensemcom_progressive,full-open,0.05,0.45,opensemcom_progressive,5,0.4245535714285714,0.0028013170531274675,0.002455462660070383,0.01896845209107561,0.010696976096032648,0.009376312956132372,0.4328125,0.006333152213888885,0.005551252673946663,0.9810315479089244,0.010696976096032654,0.009376312956132378,387.8,5.674504383644443,4.973922395856212,0.49267857142857147,0.009379184334062377,0.00822121754783011,0.8618955207217229,0.011419925986463339,0.010010006475069359,0.004241071428571429,0.007250170432549873,0.006355054582771103,0.5671875,0.006333152213888891,0.005551252673946668,0.8618303571428572,0.24291211956514777,0.212921860667241,0.9980025460268476,0.0009281405520899826,0.0008135510639217751,0.0036594748896292676,0.002981188567187707,0.0026131269936709492
opensemcom_receiver_only,full-open,0.05,0.45,opensemcom_receiver_only,5,0.3774553571428571,0.008907620508587002,0.00780787363018894,0.002948660954703251,0.0029377555492855947,0.0025750562749160904,0.37857142857142856,0.00887259237247849,0.007777170115151151,0.9970513390452969,0.0029377555492855856,0.0025750562749160826,339.2,7.9498427657407165,6.968344423175421,0.5164285714285713,0.009759851609726321,0.008554887126666251,0.7308455971166119,0.003972067029927908,0.0034816702609209616,0.0,0.0,0.0,0.6214285714285714,0.00887259237247846,0.007777170115151124,0.428125,0.0006112974972155698,0.000535825881233805,0.9984208272340114,0.0011904788001993914,0.0010435006770231458,0.0015625,0.002329237476562281,0.0020416666666666665
opensemcom_no_channel,full-open,0.05,0.45,opensemcom_no_channel,5,0.3776785714285714,0.005270410246927507,0.004619718267925012,0.002965907083554142,0.00297244340394003,0.0026054615201084627,0.3787946428571428,0.004436296186239251,0.0038885850575755797,0.9970340929164457,0.0029724434039400185,0.002605461520108453,339.4,3.9749213828703582,3.4841722115877105,0.5166741071428571,0.004879925804863201,0.00427744356333316,0.7309561226636384,0.003551087276224946,0.0031126652371200325,0.0,0.0,0.0,0.6212053571428572,0.004436296186239234,0.003888585057575566,0.428125,0.0006112974972155698,0.000535825881233805,0.9985552949252895,0.0012047298191476409,0.0010559922458929798,0.001043026544821584,0.0014282249398182908,0.0012518943566169438
best_comparison,full-open,0.05,0.45,ensemble_detector,5,0.3747767857142857,0.016859698750697944,0.014778177534797722,0.0030492751182406358,0.0038918741281005176,0.0034113780832397485,0.37589285714285714,0.016045831550290757,0.0140647914799687,0.9969507248817594,0.0038918741281005038,0.0034113780832397364,336.8,14.377065069060514,12.60205316605195,0.5134821428571428,0.01765041470531981,0.015471270627965546,0.7296562738277023,0.008245832963437278,0.00722779127064288,0.0,0.0,0.0,0.6241071428571427,0.016045831550290733,0.014064791479968678,0.9841517857142856,0.005657942792694892,0.004959405521330146,0.9987831956181228,0.0010340721591764546,0.0009064042114909457,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
opensemcom_progressive,full-open,0.05,0.6,opensemcom_progressive,5,0.4245535714285714,0.0028013170531274675,0.002455462660070383,0.01896845209107561,0.010696976096032648,0.009376312956132372,0.4328125,0.006333152213888885,0.005551252673946663,0.9810315479089244,0.010696976096032654,0.009376312956132378,387.8,5.674504383644443,4.973922395856212,0.49267857142857147,0.009379184334062377,0.00822121754783011,0.8618955207217229,0.011419925986463339,0.010010006475069359,0.004241071428571429,0.007250170432549873,0.006355054582771103,0.5671875,0.006333152213888891,0.005551252673946668,0.8618303571428572,0.24291211956514777,0.212921860667241,0.9980025460268476,0.0009281405520899826,0.0008135510639217751,0.0036594748896292676,0.002981188567187707,0.0026131269936709492
opensemcom_receiver_only,full-open,0.05,0.6,opensemcom_receiver_only,5,0.421875,0.003156726701725672,0.002766992952647343,0.016061303298874403,0.008546636123339777,0.007491456865491263,0.4287946428571428,0.005657942792694889,0.004959405521330142,0.9839386967011257,0.00854663612333975,0.007491456865491239,384.2,5.06951674225463,4.443627347111817,0.5716741071428573,0.006223737071964404,0.00545534607346318,0.7379964416144229,0.005051980693101477,0.00442825632231023,0.0,0.0,0.0,0.5712053571428571,0.005657942792694914,0.004959405521330164,0.428125,0.0006112974972155698,0.000535825881233805,0.9984208272340114,0.0011904788001993914,0.0010435006770231458,0.0015625,0.002329237476562281,0.0020416666666666665
opensemcom_no_channel,full-open,0.05,0.6,opensemcom_no_channel,5,0.42276785714285714,0.0024195851996293358,0.0021208599376196483,0.013512460081120314,0.006158689281090809,0.005398329170848796,0.42857142857142855,0.0035293277457236513,0.0030935921676911574,0.9864875399188797,0.006158689281090822,0.005398329170848808,384.0,3.1622776601683795,2.7718585822512662,0.5714285714285714,0.003882260520296014,0.0034029513844602705,0.7398560148351792,0.0039164705709662595,0.0034329378159947245,0.0,0.0,0.0,0.5714285714285714,0.0035293277457236253,0.0030935921676911345,0.428125,0.0006112974972155698,0.000535825881233805,0.9985552949252895,0.0012047298191476409,0.0010559922458929798,0.001043026544821584,0.0014282249398182908,0.0012518943566169438
best_comparison,full-open,0.05,0.6,ensemble_detector,5,0.4216517857142857,0.002146806256882972,0.0018817586521655831,0.016522280121977772,0.01094250013324631,0.009591524263561788,0.42879464285714286,0.006761219299491494,0.005926470018063023,0.9834777198780221,0.010942500133246318,0.009591524263561794,384.2,6.058052492344384,5.310117136184474,0.5716741071428572,0.007437341229440634,0.006519117019869318,0.7376368515348621,0.00624286134788478,0.005472109240406722,0.0,0.0,0.0,0.5712053571428571,0.006761219299491519,0.0059264700180630455,0.9841517857142856,0.005657942792694892,0.004959405521330146,0.9987831956181228,0.0010340721591764546,0.0009064042114909457,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
opensemcom_progressive,full-open,0.05,0.8,opensemcom_progressive,5,0.4245535714285714,0.0028013170531274675,0.002455462660070383,0.01896845209107561,0.010696976096032648,0.009376312956132372,0.4328125,0.006333152213888885,0.005551252673946663,0.9810315479089244,0.010696976096032654,0.009376312956132378,387.8,5.674504383644443,4.973922395856212,0.49267857142857147,0.009379184334062377,0.00822121754783011,0.8618955207217229,0.011419925986463339,0.010010006475069359,0.004241071428571429,0.007250170432549873,0.006355054582771103,0.5671875,0.006333152213888891,0.005551252673946668,0.8618303571428572,0.24291211956514777,0.212921860667241,0.9980025460268476,0.0009281405520899826,0.0008135510639217751,0.0036594748896292676,0.002981188567187707,0.0026131269936709492
opensemcom_receiver_only,full-open,0.05,0.8,opensemcom_receiver_only,5,0.421875,0.003156726701725672,0.002766992952647343,0.016061303298874403,0.008546636123339777,0.007491456865491263,0.4287946428571428,0.005657942792694889,0.004959405521330142,0.9839386967011257,0.00854663612333975,0.007491456865491239,384.2,5.06951674225463,4.443627347111817,0.5716741071428573,0.006223737071964404,0.00545534607346318,0.7379964416144229,0.005051980693101477,0.00442825632231023,0.0,0.0,0.0,0.5712053571428571,0.005657942792694914,0.004959405521330164,0.428125,0.0006112974972155698,0.000535825881233805,0.9984208272340114,0.0011904788001993914,0.0010435006770231458,0.0015625,0.002329237476562281,0.0020416666666666665
opensemcom_no_channel,full-open,0.05,0.8,opensemcom_no_channel,5,0.42276785714285714,0.0024195851996293358,0.0021208599376196483,0.013512460081120314,0.006158689281090809,0.005398329170848796,0.42857142857142855,0.0035293277457236513,0.0030935921676911574,0.9864875399188797,0.006158689281090822,0.005398329170848808,384.0,3.1622776601683795,2.7718585822512662,0.5714285714285714,0.003882260520296014,0.0034029513844602705,0.7398560148351792,0.0039164705709662595,0.0034329378159947245,0.0,0.0,0.0,0.5714285714285714,0.0035293277457236253,0.0030935921676911345,0.428125,0.0006112974972155698,0.000535825881233805,0.9985552949252895,0.0012047298191476409,0.0010559922458929798,0.001043026544821584,0.0014282249398182908,0.0012518943566169438
best_comparison,full-open,0.05,0.8,ensemble_detector,5,0.4216517857142857,0.002146806256882972,0.0018817586521655831,0.016522280121977772,0.01094250013324631,0.009591524263561788,0.42879464285714286,0.006761219299491494,0.005926470018063023,0.9834777198780221,0.010942500133246318,0.009591524263561794,384.2,6.058052492344384,5.310117136184474,0.5716741071428572,0.007437341229440634,0.006519117019869318,0.7376368515348621,0.00624286134788478,0.005472109240406722,0.0,0.0,0.0,0.5712053571428571,0.006761219299491519,0.0059264700180630455,0.9841517857142856,0.005657942792694892,0.004959405521330146,0.9987831956181228,0.0010340721591764546,0.0009064042114909457,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
opensemcom_progressive,full-open,0.05,1.0,opensemcom_progressive,5,0.4245535714285714,0.0028013170531274675,0.002455462660070383,0.01896845209107561,0.010696976096032648,0.009376312956132372,0.4328125,0.006333152213888885,0.005551252673946663,0.9810315479089244,0.010696976096032654,0.009376312956132378,387.8,5.674504383644443,4.973922395856212,0.49267857142857147,0.009379184334062377,0.00822121754783011,0.8618955207217229,0.011419925986463339,0.010010006475069359,0.004241071428571429,0.007250170432549873,0.006355054582771103,0.5671875,0.006333152213888891,0.005551252673946668,0.8618303571428572,0.24291211956514777,0.212921860667241,0.9980025460268476,0.0009281405520899826,0.0008135510639217751,0.0036594748896292676,0.002981188567187707,0.0026131269936709492
opensemcom_receiver_only,full-open,0.05,1.0,opensemcom_receiver_only,5,0.421875,0.003156726701725672,0.002766992952647343,0.016061303298874403,0.008546636123339777,0.007491456865491263,0.4287946428571428,0.005657942792694889,0.004959405521330142,0.9839386967011257,0.00854663612333975,0.007491456865491239,384.2,5.06951674225463,4.443627347111817,0.5716741071428573,0.006223737071964404,0.00545534607346318,0.7379964416144229,0.005051980693101477,0.00442825632231023,0.0,0.0,0.0,0.5712053571428571,0.005657942792694914,0.004959405521330164,0.428125,0.0006112974972155698,0.000535825881233805,0.9984208272340114,0.0011904788001993914,0.0010435006770231458,0.0015625,0.002329237476562281,0.0020416666666666665
opensemcom_no_channel,full-open,0.05,1.0,opensemcom_no_channel,5,0.42276785714285714,0.0024195851996293358,0.0021208599376196483,0.013512460081120314,0.006158689281090809,0.005398329170848796,0.42857142857142855,0.0035293277457236513,0.0030935921676911574,0.9864875399188797,0.006158689281090822,0.005398329170848808,384.0,3.1622776601683795,2.7718585822512662,0.5714285714285714,0.003882260520296014,0.0034029513844602705,0.7398560148351792,0.0039164705709662595,0.0034329378159947245,0.0,0.0,0.0,0.5714285714285714,0.0035293277457236253,0.0030935921676911345,0.428125,0.0006112974972155698,0.000535825881233805,0.9985552949252895,0.0012047298191476409,0.0010559922458929798,0.001043026544821584,0.0014282249398182908,0.0012518943566169438
