auroc,backbone,detector_control,fpr95,known_subset_accuracy,method,samples,seed,severity
1.0,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine,0.0,1.0,opensemcom,640,0,mild
0.9999186197916666,dino+siglip2+openclip,learned_risk_head_only,0.0,1.0,opensemcom_risk_head,640,0,mild
1.0,dino+siglip2+openclip,mixed_open_calibration,0.0,1.0,opensemcom_calibrated,640,0,mild
1.0,dino+siglip2+openclip,semantic_harq_refine,0.0,1.0,opensemcom_harq_refine,640,0,mild
1.0,DINOv3,one_vs_rest,0.0,0.9947916666666666,dino_one_vs_rest,640,0,mild
0.999786376953125,SigLIP2,best_ood:one_vs_rest,0.0,0.9973958333333334,siglip2_best_ood,640,0,mild
1.0,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,640,0,mild
0.9998524983723959,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine,0.0,1.0,opensemcom,896,0,medium
0.9996744791666666,dino+siglip2+openclip,learned_risk_head_only,0.0,1.0,opensemcom_risk_head,896,0,medium
0.9998524983723959,dino+siglip2+openclip,mixed_open_calibration,0.0,1.0,opensemcom_calibrated,896,0,medium
0.9998524983723959,dino+siglip2+openclip,semantic_harq_refine,0.0,1.0,opensemcom_harq_refine,896,0,medium
0.9997812906901041,DINOv3,one_vs_rest,0.0,0.9947916666666666,dino_one_vs_rest,896,0,medium
0.999725341796875,SigLIP2,best_ood:one_vs_rest,0.0,0.9973958333333334,siglip2_best_ood,896,0,medium
0.9998982747395834,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,896,0,medium
0.9985758463541666,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine,0.0,1.0,opensemcom,1024,0,hard
0.9977569580078125,dino+siglip2+openclip,learned_risk_head_only,0.0,1.0,opensemcom_risk_head,1024,0,hard
0.9985758463541666,dino+siglip2+openclip,mixed_open_calibration,0.0,1.0,opensemcom_calibrated,1024,0,hard
0.9985911051432291,dino+siglip2+openclip,semantic_harq_refine,0.0,1.0,opensemcom_harq_refine,1024,0,hard
