accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,calibration_setting,coverage,detector_control,fpr95,goodput_per_resource_proxy,known_id_accuracy,method,open_fraction,refine_rate,refine_threshold,refined,reject_rate,rejected,requested_openout,resource_units_proxy,seed,semantic_goodput,severity,target_openout,threshold
384,384,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,openout<=0.02,0.6,learned_selective_risk+semantic_harq_refine,0.0,0.9340792994405254,1.0,opensemcom,0.25,0.0015625,0.24999951042100452,1,0.3984375,255,openout<=0.05,411.1,0,0.6,mild,openout<=0.02,0.0
403,384,0.9528535980148883,0.04714640198511166,19,0.6,0.9937642415364584,dino+siglip2+openclip,openout<=0.10,0.6296875,learned_selective_risk+semantic_harq_refine,0.0026041666666666665,0.490923037586295,1.0,opensemcom,0.25,0.3703125,0.9999999582748195,237,0.0,0,openout<=0.05,782.2,1,0.6,mild,openout<=0.10,0.9828249217958626
388,383,0.9871134020618557,0.01288659793814433,5,0.6,0.9971771240234375,dino+siglip2+openclip,openout<=0.05,0.60625,learned_selective_risk+semantic_harq_refine,0.0026041666666666665,0.48407482305358945,1.0,opensemcom,0.25,0.39375,0.9999998976631478,252,0.0,0,openout<=0.05,791.2,2,0.5984375,mild,openout<=0.05,0.8964437161836681
385,382,0.9922077922077922,0.007792207792207792,3,0.596875,0.9999898274739584,DINOv3,openout<=0.05,0.6015625,one_vs_rest,0.0,0.4817150063051702,0.9947916666666666,dino_one_vs_rest,0.25,0.3984375,0.9999998733268657,255,0.0,0,openout<=0.05,793.0,0,0.596875,mild,openout<=0.05,0.8102726692097667
388,383,0.9871134020618557,0.01288659793814433,5,0.5984375,1.0,DINOv3,openout<=0.05,0.60625,one_vs_rest,0.0,0.48407482305358945,0.9973958333333334,dino_one_vs_rest,0.25,0.39375,0.999999947873905,252,0.0,0,openout<=0.05,791.2,1,0.5984375,mild,openout<=0.05,0.8271828840669304
389,381,0.9794344473007712,0.02056555269922879,8,0.5953125,0.999969482421875,DINOv3,openout<=0.05,0.6078125,one_vs_rest,0.0,0.48191247154060207,0.9921875,dino_one_vs_rest,0.25,0.3921875,0.9999999053531686,251,0.0,0,openout<=0.05,790.6,2,0.5953125,mild,openout<=0.05,0.8756228323373485
390,384,0.9846153846153847,0.015384615384615385,6,0.6,1.0,OpenCLIP-DFN5B,openout<=0.05,0.609375,best_ood:one_vs_rest,0.0,0.4860759493670886,1.0,openclip_best_ood,0.25,0.390625,0.9999999994503184,250,0.0,0,openout<=0.05,790.0,0,0.6,mild,openout<=0.05,0.9117886066880002
392,384,0.9795918367346939,0.02040816326530612,8,0.6,0.99847412109375,OpenCLIP-DFN5B,openout<=0.05,0.6125,best_ood:one_vs_rest,0.0,0.48681541582150106,1.0,openclip_best_ood,0.25,0.3875,0.9999999998925508,248,0.0,0,openout<=0.05,788.8,1,0.6,mild,openout<=0.05,0.9358989352930743
388,383,0.9871134020618557,0.01288659793814433,5,0.5984375,0.9991861979166666,OpenCLIP-DFN5B,openout<=0.05,0.60625,best_ood:one_vs_rest,0.0026041666666666665,0.48407482305358945,0.9973958333333334,openclip_best_ood,0.25,0.39375,0.9999999988152088,252,0.0,0,openout<=0.05,791.2,2,0.5984375,mild,openout<=0.05,0.9340355125253572
391,383,0.979539641943734,0.020460358056265986,8,0.5984375,0.9998067220052084,SigLIP2,openout<=0.10,0.6109375,best_ood:one_vs_rest,0.0,0.48517861667088924,0.9973958333333334,siglip2_best_ood,0.25,0.3890625,0.9999999991421626,249,0.0,0,openout<=0.05,789.4000000000001,0,0.5984375,mild,openout<=0.10,0.9545915324611244
390,381,0.9769230769230769,0.023076923076923078,9,0.5953125,0.9999593098958334,SigLIP2,openout<=0.05,0.609375,best_ood:one_vs_rest,0.0,0.48227848101265824,0.9921875,siglip2_best_ood,0.25,0.390625,0.9999999998896709,250,0.0,0,openout<=0.05,790.0,1,0.5953125,mild,openout<=0.05,0.8518456414561563
391,378,0.9667519181585678,0.03324808184143223,13,0.590625,0.9998779296875,SigLIP2,openout<=0.10,0.6109375,best_ood:one_vs_rest,0.0,0.47884469217126924,0.984375,siglip2_best_ood,0.25,0.3890625,0.9999999997432678,249,0.0,0,openout<=0.05,789.4000000000001,2,0.590625,mild,openout<=0.10,0.9372278141404897
391,384,0.9820971867007673,0.017902813299232736,7,0.6,0.99993896484375,dino+siglip2+openclip,openout<=0.05,0.6109375,learned_risk_head_only,0.0,0.9101682863237734,1.0,opensemcom_risk_head,0.25,0.00625,0.9749247342348117,4,0.3828125,245,openout<=0.05,421.9,0,0.6,mild,openout<=0.05,0.7249257475137729
381,379,0.994750656167979,0.005249343832020997,2,0.5984375,0.9991658528645834,dino+siglip2+openclip,openout<=0.05,0.5953125,learned_risk_head_only,0.005208333333333333,0.9212445308701992,0.9973958333333334,opensemcom_risk_head,0.25,0.0046875,0.27325173072516945,3,0.4,256,openout<=0.05,411.40000000000003,1,0.5921875,mild,openout<=0.05,0.023253384754061943
396,383,0.9671717171717171,0.03282828282828283,13,0.5984375,0.9984944661458334,dino+siglip2+openclip,openout<=0.10,0.61875,learned_risk_head_only,0.0026041666666666665,0.48702950152594093,0.9973958333333334,opensemcom_risk_head,0.25,0.38125,0.9999996423721313,244,0.0,0,openout<=0.05,786.4000000000001,2,0.5984375,mild,openout<=0.10,0.9992397999763489
387,384,0.9922480620155039,0.007751937984496124,3,0.6,1.0,dino+siglip2+openclip,openout<=0.05,0.6046875,mixed_open_calibration,0.0,0.48497095226067194,1.0,opensemcom_calibrated,0.25,0.3953125,0.9999999999138738,253,0.0,0,openout<=0.05,791.8,0,0.6,mild,openout<=0.05,0.8665858674109231
402,384,0.9552238805970149,0.04477611940298507,18,0.6,0.99957275390625,dino+siglip2+openclip,openout<=0.10,0.628125,mixed_open_calibration,0.0,0.4905467552376086,1.0,opensemcom_calibrated,0.25,0.371875,0.9999999999964924,238,0.0,0,openout<=0.05,782.8,1,0.6,mild,openout<=0.10,0.980998879060814
390,383,0.982051282051282,0.017948717948717947,7,0.6,0.99908447265625,dino+siglip2+openclip,openout<=0.05,0.609375,mixed_open_calibration,0.0026041666666666665,0.48481012658227846,1.0,opensemcom_calibrated,0.25,0.390625,0.9999999985568071,250,0.0,0,openout<=0.05,790.0,2,0.5984375,mild,openout<=0.05,0.9261772444305227
384,384,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,openout<=0.02,0.6,semantic_harq_refine,0.0,0.9340792994405254,1.0,opensemcom_harq_refine,0.25,0.0015625,0.24999951042100077,1,0.3984375,255,openout<=0.05,411.1,0,0.6,mild,openout<=0.02,0.0
403,384,0.9528535980148883,0.04714640198511166,19,0.6,0.9937642415364584,dino+siglip2+openclip,openout<=0.10,0.6296875,semantic_harq_refine,0.0026041666666666665,0.490923037586295,1.0,opensemcom_harq_refine,0.25,0.3703125,0.9999999582748195,237,0.0,0,openout<=0.05,782.2,1,0.6,mild,openout<=0.10,0.9827330116224122
388,383,0.9871134020618557,0.01288659793814433,5,0.6,0.9971669514973959,dino+siglip2+openclip,openout<=0.05,0.60625,semantic_harq_refine,0.0026041666666666665,0.48407482305358945,1.0,opensemcom_harq_refine,0.25,0.39375,0.9999998976631478,252,0.0,0,openout<=0.05,791.2,2,0.5984375,mild,openout<=0.05,0.8957808190790324
388,384,0.9896907216494846,0.010309278350515464,4,0.42857142857142855,0.99609375,dino+siglip2+openclip,openout<=0.02,0.4330357142857143,learned_selective_risk+semantic_harq_refine,0.0,0.8751139471285323,1.0,opensemcom,0.5,0.0,0.24999988062203168,0,0.5669642857142857,508,openout<=0.05,438.8,0,0.42857142857142855,medium,openout<=0.02,0.0
383,380,0.9921671018276762,0.007832898172323759,3,0.42857142857142855,0.9977366129557291,dino+siglip2+openclip,openout<=0.05,0.42745535714285715,learned_selective_risk+semantic_harq_refine,0.0,0.857207308820212,1.0,opensemcom,0.5,0.006696428571428571,0.4432066209426602,6,0.5658482142857143,507,openout<=0.05,443.3,1,0.42410714285714285,medium,openout<=0.05,0.19320678993262158
403,383,0.9503722084367245,0.04962779156327544,20,0.42857142857142855,0.9960403442382812,dino+siglip2+openclip,openout<=0.05,0.4497767857142857,learned_selective_risk+semantic_harq_refine,0.0026041666666666665,0.32136264473905013,1.0,opensemcom,0.5,0.5502232142857143,0.9999999177134934,493,0.0,0,openout<=0.05,1191.8000000000002,2,0.42745535714285715,medium,openout<=0.05,0.8964437161836681
393,382,0.9720101781170484,0.027989821882951654,11,0.4263392857142857,0.9997711181640625,DINOv3,openout<=0.05,0.43861607142857145,one_vs_rest,0.0,0.3189180163633327,0.9947916666666666,dino_one_vs_rest,0.5,0.5613839285714286,0.999999988765156,503,0.0,0,openout<=0.05,1197.8000000000002,0,0.4263392857142857,medium,openout<=0.05,0.8102726692097667
395,383,0.9696202531645569,0.030379746835443037,12,0.42745535714285715,1.0,DINOv3,openout<=0.05,0.4408482142857143,one_vs_rest,0.0,0.32007354170148755,0.9973958333333334,dino_one_vs_rest,0.5,0.5591517857142857,0.9999999563315399,501,0.0,0,openout<=0.05,1196.6,1,0.42745535714285715,medium,openout<=0.05,0.8271828840669304
386,379,0.9818652849740933,0.018134715025906734,7,0.4252232142857143,0.9997660319010416,DINOv3,openout<=0.01,0.43080357142857145,one_vs_rest,0.0,0.8613636363636363,0.9921875,dino_one_vs_rest,0.5,0.002232142857142857,0.4044845276987206,2,0.5669642857142857,508,openout<=0.05,440.0,2,0.42299107142857145,medium,openout<=0.01,0.15449886218272468
401,384,0.9576059850374065,0.04239401496259352,17,0.42857142857142855,0.9998779296875,OpenCLIP-DFN5B,openout<=0.05,0.44754464285714285,best_ood:one_vs_rest,0.0,0.32187761944677284,1.0,openclip_best_ood,0.5,0.5524553571428571,0.999999999857738,495,0.0,0,openout<=0.05,1193.0,0,0.42857142857142855,medium,openout<=0.05,0.9117886066880002
395,384,0.9721518987341772,0.027848101265822784,11,0.42857142857142855,0.9998931884765625,OpenCLIP-DFN5B,openout<=0.05,0.4408482142857143,best_ood:one_vs_rest,0.0,0.32090924285475514,1.0,openclip_best_ood,0.5,0.5591517857142857,0.9999999999773452,501,0.0,0,openout<=0.05,1196.6,1,0.42857142857142855,medium,openout<=0.05,0.9358989352930743
401,383,0.9551122194513716,0.04488778054862843,18,0.42745535714285715,0.9992879231770834,OpenCLIP-DFN5B,openout<=0.05,0.44754464285714285,best_ood:one_vs_rest,0.0026041666666666665,0.32103939647946356,0.9973958333333334,openclip_best_ood,0.5,0.5524553571428571,0.9999999999420772,495,0.0,0,openout<=0.05,1193.0,2,0.42745535714285715,medium,openout<=0.05,0.9340355125253572
393,380,0.9669211195928753,0.03307888040712468,13,0.42745535714285715,0.9997406005859375,SigLIP2,openout<=0.05,0.43861607142857145,best_ood:one_vs_rest,0.0,0.31724828852896975,0.9973958333333334,siglip2_best_ood,0.5,0.5613839285714286,0.9999999999967486,503,0.0,0,openout<=0.05,1197.8000000000002,0,0.42410714285714285,medium,openout<=0.05,0.8404900400481793
392,381,0.9719387755102041,0.02806122448979592,11,0.4252232142857143,0.9998575846354166,SigLIP2,openout<=0.05,0.4375,best_ood:one_vs_rest,0.0,0.31792389853137515,0.9921875,siglip2_best_ood,0.5,0.5625,0.9999999998873859,504,0.0,0,openout<=0.05,1198.4,1,0.4252232142857143,medium,openout<=0.05,0.8518456414561563
396,377,0.952020202020202,0.047979797979797977,19,0.421875,0.9995473225911459,SigLIP2,openout<=0.05,0.4419642857142857,best_ood:one_vs_rest,0.0,0.8177874186550976,0.984375,siglip2_best_ood,0.5,0.011160714285714286,0.9376820525732966,10,0.546875,490,openout<=0.05,461.0,2,0.42075892857142855,medium,openout<=0.05,0.6876902460632138
398,384,0.964824120603015,0.035175879396984924,14,0.42857142857142855,0.999420166015625,dino+siglip2+openclip,openout<=0.05,0.44419642857142855,learned_risk_head_only,0.0,0.8270514753392203,1.0,opensemcom_risk_head,0.5,0.012276785714285714,0.9749245852231998,11,0.5435267857142857,487,openout<=0.05,464.3,0,0.42857142857142855,medium,openout<=0.05,0.7249257475137729
384,379,0.9869791666666666,0.013020833333333334,5,0.42745535714285715,0.9994964599609375,dino+siglip2+openclip,openout<=0.05,0.42857142857142855,learned_risk_head_only,0.0026041666666666665,0.8474955277280858,0.9973958333333334,opensemcom_risk_head,0.5,0.008928571428571428,0.2732514327019456,8,0.5625,504,openout<=0.05,447.20000000000005,1,0.42299107142857145,medium,openout<=0.05,0.023253384754061943
401,382,0.9526184538653366,0.04738154613466334,19,0.42745535714285715,0.9985707600911459,dino+siglip2+openclip,openout<=0.05,0.44754464285714285,learned_risk_head_only,0.005208333333333333,0.3202011735121542,0.9973958333333334,opensemcom_risk_head,0.5,0.5524553571428571,0.9999997019767761,495,0.0,0,openout<=0.05,1193.0,2,0.4263392857142857,medium,openout<=0.05,0.9047745555639274
397,384,0.9672544080604534,0.0327455919395466,13,0.42857142857142855,0.999847412109375,dino+siglip2+openclip,openout<=0.05,0.44308035714285715,mixed_open_calibration,0.0,0.3212313869834365,1.0,opensemcom_calibrated,0.5,0.5569196428571429,0.9999999999955798,499,0.0,0,openout<=0.05,1195.4,0,0.42857142857142855,medium,openout<=0.05,0.8665858674109231
381,379,0.994750656167979,0.005249343832020997,2,0.42857142857142855,0.9997151692708334,dino+siglip2+openclip,openout<=0.05,0.4252232142857143,mixed_open_calibration,0.0,0.870264064293915,1.0,opensemcom_calibrated,0.5,0.002232142857142857,0.6164503513947758,2,0.5725446428571429,513,openout<=0.05,435.5,1,0.42299107142857145,medium,openout<=0.05,0.3664544179965301
402,383,0.9527363184079602,0.0472636815920398,19,0.42857142857142855,0.9989369710286459,dino+siglip2+openclip,openout<=0.05,0.4486607142857143,mixed_open_calibration,0.0026041666666666665,0.32120093928212007,1.0,opensemcom_calibrated,0.5,0.5513392857142857,0.9999999995984721,494,0.0,0,openout<=0.05,1192.4,2,0.42745535714285715,medium,openout<=0.05,0.9261772444305227
388,384,0.9896907216494846,0.010309278350515464,4,0.42857142857142855,0.99609375,dino+siglip2+openclip,openout<=0.02,0.4330357142857143,semantic_harq_refine,0.0,0.8691715708465368,1.0,opensemcom_harq_refine,0.5,0.002232142857142857,0.24999988062203043,2,0.5647321428571429,506,openout<=0.05,441.8,0,0.42857142857142855,medium,openout<=0.02,0.0
383,380,0.9921671018276762,0.007832898172323759,3,0.42857142857142855,0.9977366129557291,dino+siglip2+openclip,openout<=0.05,0.42745535714285715,semantic_harq_refine,0.0,0.85431654676259,1.0,opensemcom_harq_refine,0.5,0.0078125,0.402160969887182,7,0.5647321428571429,506,openout<=0.05,444.8,1,0.42410714285714285,medium,openout<=0.05,0.15216113887714333
384,381,0.9921875,0.0078125,3,0.42857142857142855,0.9960352579752604,dino+siglip2+openclip,openout<=0.01,0.42857142857142855,semantic_harq_refine,0.0026041666666666665,0.8664998862861041,1.0,opensemcom_harq_refine,0.5,0.0033482142857142855,0.24999965122697348,3,0.5680803571428571,509,openout<=0.05,439.70000000000005,2,0.4252232142857143,medium,openout<=0.01,0.0
263,256,0.973384030418251,0.026615969581749048,7,0.25,0.9954427083333334,dino+siglip2+openclip,openout<=0.02,0.2568359375,learned_selective_risk+semantic_harq_refine,0.0,0.7483192049108447,1.0,opensemcom,0.75,0.001953125,0.24999989670718842,2,0.7412109375,759,openout<=0.05,342.1,0,0.25,hard,openout<=0.02,0.0
261,253,0.9693486590038314,0.03065134099616858,8,0.25,0.9976959228515625,dino+siglip2+openclip,openout<=0.05,0.2548828125,learned_selective_risk+semantic_harq_refine,0.0,0.7434616514839847,1.0,opensemcom,0.75,0.001953125,0.4432066834511969,2,0.7431640625,761,openout<=0.05,340.3,1,0.2470703125,hard,openout<=0.05,0.19320678993262158
256,254,0.9921875,0.0078125,2,0.25,0.9985809326171875,dino+siglip2+openclip,openout<=0.01,0.25,learned_selective_risk+semantic_harq_refine,0.0,0.743124634289058,1.0,opensemcom,0.75,0.005859375,0.24999987123695555,6,0.744140625,762,openout<=0.05,341.8,2,0.248046875,hard,openout<=0.01,0.0
