accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,goodput_per_resource_proxy,known_id_accuracy,method,open_fraction,refine_rate,refine_threshold,refined,reject_rate,rejected,resource_units_proxy,seed,semantic_goodput,severity,target_openout,threshold
384,384,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.6,learned_selective_risk+semantic_harq_refine,0.0,0.9340792994405254,1.0,opensemcom,0.25,0.0015625,0.24999951042100452,1,0.3984375,255,411.1,0,0.6,mild,openout<=0.01,0.0
381,378,0.9921259842519685,0.007874015748031496,3,0.6,0.9937642415364584,dino+siglip2+openclip,0.5953125,learned_selective_risk+semantic_harq_refine,0.0026041666666666665,0.9221761405220786,1.0,opensemcom,0.25,0.003125,0.24999963780017206,2,0.4015625,257,409.9,1,0.590625,mild,openout<=0.01,0.0
384,382,0.9947916666666666,0.005208333333333333,2,0.6,0.9971771240234375,dino+siglip2+openclip,0.6,learned_selective_risk+semantic_harq_refine,0.0026041666666666665,0.9292143030892727,1.0,opensemcom,0.25,0.0015625,0.508920921090425,1,0.3984375,255,411.1,2,0.596875,mild,openout<=0.01,0.2589218579167121
384,383,0.9973958333333334,0.0026041666666666665,1,0.6,0.99993896484375,dino+siglip2+openclip,0.6,learned_risk_head_only,0.0,0.924897367785559,1.0,opensemcom_risk_head,0.25,0.0046875,0.27113104648888103,3,0.3953125,253,414.1,0,0.5984375,mild,openout<=0.01,0.021132059767842236
378,377,0.9973544973544973,0.0026455026455026454,1,0.5984375,0.9991658528645834,dino+siglip2+openclip,0.590625,learned_risk_head_only,0.005208333333333333,0.9123910939012584,0.9973958333333334,opensemcom_risk_head,0.25,0.009375,0.25281379639403895,6,0.4,256,413.20000000000005,1,0.5890625,mild,openout<=0.01,0.0028154504229314613
384,381,0.9921875,0.0078125,3,0.5984375,0.9984944661458334,dino+siglip2+openclip,0.6,learned_risk_head_only,0.0026041666666666665,0.9267818049136463,0.9973958333333334,opensemcom_risk_head,0.25,0.0015625,0.3325611770153034,1,0.3984375,255,411.1,2,0.5953125,mild,openout<=0.01,0.08256219029426462
384,384,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.6,mixed_open_calibration,0.0,0.9340792994405254,1.0,opensemcom_calibrated,0.25,0.0015625,0.44975405363027643,1,0.3984375,255,411.1,0,0.6,mild,openout<=0.01,0.1997568314536327
378,376,0.9947089947089947,0.005291005291005291,2,0.6,0.99957275390625,dino+siglip2+openclip,0.590625,mixed_open_calibration,0.0,0.9166260360799611,1.0,opensemcom_calibrated,0.25,0.00625,0.30073314905724463,4,0.403125,258,410.2,1,0.5875,mild,openout<=0.01,0.050735358067135305
384,382,0.9947916666666666,0.005208333333333333,2,0.6,0.99908447265625,dino+siglip2+openclip,0.6,mixed_open_calibration,0.0026041666666666665,0.915847518580676,1.0,opensemcom_calibrated,0.25,0.0078125,0.9000100301318432,5,0.3921875,251,417.1,2,0.596875,mild,openout<=0.01,0.6500135458971286
384,384,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.6,semantic_harq_refine,0.0,0.9340792994405254,1.0,opensemcom_harq_refine,0.25,0.0015625,0.24999951042100077,1,0.3984375,255,411.1,0,0.6,mild,openout<=0.01,0.0
381,378,0.9921259842519685,0.007874015748031496,3,0.6,0.9937642415364584,dino+siglip2+openclip,0.5953125,semantic_harq_refine,0.0026041666666666665,0.9221761405220786,1.0,opensemcom_harq_refine,0.25,0.003125,0.24999963780017206,2,0.4015625,257,409.9,1,0.590625,mild,openout<=0.01,0.0
384,382,0.9947916666666666,0.005208333333333333,2,0.6,0.9971669514973959,dino+siglip2+openclip,0.6,semantic_harq_refine,0.0026041666666666665,0.9292143030892727,1.0,opensemcom_harq_refine,0.25,0.0015625,0.4531195958297034,1,0.3984375,255,411.1,2,0.596875,mild,openout<=0.01,0.20312053265601207
384,382,0.9947916666666666,0.005208333333333333,2,0.596875,0.9999898274739584,DINOv3,0.6,one_vs_rest,0.0,0.9060721062618595,0.9947916666666666,dino_one_vs_rest,0.25,0.0125,0.9493115539944347,8,0.3875,248,421.6,0,0.596875,mild,openout<=0.01,0.6993250306684891
384,383,0.9973958333333334,0.0026041666666666665,1,0.5984375,1.0,DINOv3,0.6,one_vs_rest,0.0,0.924897367785559,0.9973958333333334,dino_one_vs_rest,0.25,0.0046875,0.6692695356539686,3,0.3953125,253,414.1,1,0.5984375,mild,openout<=0.01,0.4192826309580401
378,376,0.9947089947089947,0.005291005291005291,2,0.5953125,0.999969482421875,DINOv3,0.590625,one_vs_rest,0.0,0.9166260360799611,0.9921875,dino_one_vs_rest,0.25,0.00625,0.28025268877909104,4,0.403125,258,410.2,2,0.5875,mild,openout<=0.01,0.030265951179601232
384,384,1.0,0.0,0,0.6,1.0,OpenCLIP-DFN5B,0.6,best_ood:one_vs_rest,0.0,0.9273122434194638,1.0,openclip_best_ood,0.25,0.0046875,0.5061142995012269,3,0.3953125,253,414.1,0,0.6,mild,openout<=0.01,0.2561195457255636
384,382,0.9947916666666666,0.005208333333333333,2,0.6,0.99847412109375,OpenCLIP-DFN5B,0.6,best_ood:one_vs_rest,0.0,0.9292143030892727,1.0,openclip_best_ood,0.25,0.0015625,0.5873136158969545,1,0.3984375,255,411.1,1,0.596875,mild,openout<=0.01,0.3373171228464101
384,382,0.9947916666666666,0.005208333333333333,2,0.5984375,0.9991861979166666,OpenCLIP-DFN5B,0.6,best_ood:one_vs_rest,0.0026041666666666665,0.9292143030892727,0.9973958333333334,openclip_best_ood,0.25,0.0015625,0.7379026360503597,1,0.3984375,255,411.1,2,0.596875,mild,openout<=0.01,0.4879083635685597
378,377,0.9973544973544973,0.0026455026455026454,1,0.5984375,0.9998067220052084,SigLIP2,0.590625,best_ood:one_vs_rest,0.0,0.9190638712823014,0.9973958333333334,siglip2_best_ood,0.25,0.00625,0.27021901768827095,4,0.403125,258,410.2,0,0.5890625,mild,openout<=0.01,0.020224635625924775
378,375,0.9920634920634921,0.007936507936507936,3,0.5953125,0.9999593098958334,SigLIP2,0.590625,best_ood:one_vs_rest,0.0,0.9108574204517853,0.9921875,siglip2_best_ood,0.25,0.0078125,0.2701802015104668,5,0.4015625,257,411.7,1,0.5859375,mild,openout<=0.01,0.020185431757125158
339,336,0.9911504424778761,0.008849557522123894,3,0.590625,0.9998779296875,SigLIP2,0.5296875,best_ood:one_vs_rest,0.0,0.772236267524707,0.984375,siglip2_best_ood,0.25,0.06875,0.2550700484989377,44,0.4015625,257,435.09999999999997,2,0.525,mild,openout<=0.01,0.005076098054730645
380,378,0.9947368421052631,0.005263157894736842,2,0.42857142857142855,0.9977366129557291,dino+siglip2+openclip,0.42410714285714285,learned_selective_risk+semantic_harq_refine,0.0,0.863802559414991,1.0,opensemcom,0.5,0.004464285714285714,0.24999983101003864,4,0.5714285714285714,512,437.59999999999997,1,0.421875,medium,openout<=0.01,0.0
384,381,0.9921875,0.0078125,3,0.42857142857142855,0.9960403442382812,dino+siglip2+openclip,0.42857142857142855,learned_selective_risk+semantic_harq_refine,0.0026041666666666665,0.8664998862861041,1.0,opensemcom,0.5,0.0033482142857142855,0.24999965122697632,3,0.5680803571428571,509,439.70000000000005,2,0.4252232142857143,medium,openout<=0.01,0.0
376,373,0.9920212765957447,0.007978723404255319,3,0.42857142857142855,0.999420166015625,dino+siglip2+openclip,0.41964285714285715,learned_risk_head_only,0.0,0.8224917309812569,1.0,opensemcom_risk_head,0.5,0.018973214285714284,0.250831461121561,17,0.5613839285714286,503,453.5,0,0.41629464285714285,medium,openout<=0.01,0.0008326234121341246
