cal_goodput,cal_goodput_per_resource,cal_openout,cal_openout_upper,cal_refine_rate,cal_resource_per_sample,method,q1,q2,qr,resource_budget,route,seed,target_openout,task,threshold
0.0,,0.0,0.0,,,dino_detector,,,,0.3,,0,0.01,full-open-mild,-8.799814725662758e-07
0.0,,0.0,0.0,,,ensemble_detector,,,,0.3,,0,0.01,full-open-mild,-6.118528461426728e-07
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.3,,0,0.01,full-open-mild,-9.99967099539866e-07
0.0,,0.0,0.0,,,witt_context_style,,,,0.3,,0,0.01,full-open-mild,-6.29770909960487e-07
0.0,,0.0,0.0,,,fixed_refine_all,,,,0.3,,0,0.01,full-open-mild,-6.29770909960487e-07
0.0,,0.0,0.0,,,opensemcom_receiver_only,,,,0.3,,0,0.01,full-open-mild,5.80988700398667e-05
0.0,,0.0,0.0,,,opensemcom_no_channel,,,,0.3,,0,0.01,full-open-mild,6.364369915751213e-05
0.0,0.0,0.0,0.0,0.0,0.0,opensemcom_progressive,-8.799814725662758e-07,-8.799814725662758e-07,-6.29770909960487e-07,0.3,dino_core,0,0.01,full-open-mild,
0.0,,0.0,0.0,,,dino_detector,,,,0.45,,0,0.01,full-open-mild,-8.799814725662758e-07
0.0,,0.0,0.0,,,ensemble_detector,,,,0.45,,0,0.01,full-open-mild,-6.118528461426728e-07
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.45,,0,0.01,full-open-mild,-9.99967099539866e-07
0.0,,0.0,0.0,,,witt_context_style,,,,0.45,,0,0.01,full-open-mild,-6.29770909960487e-07
0.0,,0.0,0.0,,,fixed_refine_all,,,,0.45,,0,0.01,full-open-mild,-6.29770909960487e-07
0.0,,0.0,0.0,,,opensemcom_receiver_only,,,,0.45,,0,0.01,full-open-mild,5.80988700398667e-05
0.0,,0.0,0.0,,,opensemcom_no_channel,,,,0.45,,0,0.01,full-open-mild,6.364369915751213e-05
0.2986111111111111,0.696638315107331,0.0,0.007757948320341885,0.09461805555555555,0.4286458333333333,opensemcom_progressive,0.00021460290802853194,0.0031293928229882543,0.0031293928229882543,0.45,dino_channel_fusion_core,0,0.01,full-open-mild,
0.0,,0.0,0.0,,,dino_detector,,,,0.6,,0,0.01,full-open-mild,-8.799814725662758e-07
0.0,,0.0,0.0,,,ensemble_detector,,,,0.6,,0,0.01,full-open-mild,-6.118528461426728e-07
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.6,,0,0.01,full-open-mild,-9.99967099539866e-07
0.0,,0.0,0.0,,,witt_context_style,,,,0.6,,0,0.01,full-open-mild,-6.29770909960487e-07
0.0,,0.0,0.0,,,fixed_refine_all,,,,0.6,,0,0.01,full-open-mild,-6.29770909960487e-07
0.0,,0.0,0.0,,,opensemcom_receiver_only,,,,0.6,,0,0.01,full-open-mild,5.80988700398667e-05
0.0,,0.0,0.0,,,opensemcom_no_channel,,,,0.6,,0,0.01,full-open-mild,6.364369915751213e-05
0.2986111111111111,0.696638315107331,0.0,0.007757948320341885,0.09461805555555555,0.4286458333333333,opensemcom_progressive,0.00021460290802853194,0.0031293928229882543,0.0031293928229882543,0.6,dino_channel_fusion_core,0,0.01,full-open-mild,
0.0,,0.0,0.0,,,dino_detector,,,,0.8,,0,0.01,full-open-mild,-8.799814725662758e-07
0.0,,0.0,0.0,,,ensemble_detector,,,,0.8,,0,0.01,full-open-mild,-6.118528461426728e-07
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.8,,0,0.01,full-open-mild,-9.99967099539866e-07
0.0,,0.0,0.0,,,witt_context_style,,,,0.8,,0,0.01,full-open-mild,-6.29770909960487e-07
0.0,,0.0,0.0,,,fixed_refine_all,,,,0.8,,0,0.01,full-open-mild,-6.29770909960487e-07
0.0,,0.0,0.0,,,opensemcom_receiver_only,,,,0.8,,0,0.01,full-open-mild,5.80988700398667e-05
0.0,,0.0,0.0,,,opensemcom_no_channel,,,,0.8,,0,0.01,full-open-mild,6.364369915751213e-05
0.2986111111111111,0.696638315107331,0.0,0.007757948320341885,0.09461805555555555,0.4286458333333333,opensemcom_progressive,0.00021460290802853194,0.0031293928229882543,0.0031293928229882543,0.8,dino_channel_fusion_core,0,0.01,full-open-mild,
0.0,,0.0,0.0,,,dino_detector,,,,1.0,,0,0.01,full-open-mild,-8.799814725662758e-07
