accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,goodput_per_latency,goodput_per_resource,latency_per_sample,latency_units,method,refine_rate,reject_rate,resource_budget,resource_per_sample,resource_units,retransmission_rate,seed,semantic_goodput,target_openout,task
0,0,0.0,0.0,0,0.98125,0.9910913592272413,0.0,0.013089005235602094,0.0,0.0,0.2,128.0,dino_detector,0.0,1.0,0.3,0.1,64.0,0.0,0,0.0,0.01,full-open-mild
0,0,0.0,0.0,0,0.996875,0.999725341796875,0.0,0.0,0.0,0.0,0.2,128.0,ensemble_detector,0.0,1.0,0.3,0.1,64.0,0.0,0,0.0,0.01,full-open-mild
0,0,0.0,0.0,0,0.9421875,0.9088295605323469,0.0,0.4037433155080214,0.0,0.0,0.2,128.0,deepjscc_pca,0.0,1.0,0.3,0.1,64.0,0.0,0,0.0,0.01,full-open-mild
0,0,0.0,0.0,0,0.9953125,0.9997456868489584,0.0,0.0,0.0,0.0,0.2,128.0,witt_context_style,0.0,1.0,0.3,0.1,64.0,0.0,0,0.0,0.01,full-open-mild
0,0,0.0,0.0,0,0.9953125,0.9997456868489584,0.0,0.0,0.0,0.0,0.2,128.0,fixed_refine_all,0.0,1.0,0.3,0.1,64.0,0.0,0,0.0,0.01,full-open-mild
0,0,0.0,0.0,0,0.6,0.9998982747395834,0.0,0.0,0.0,0.0,0.2,128.0,opensemcom_receiver_only,0.0,1.0,0.3,0.1,64.0,0.0,0,0.0,0.01,full-open-mild
0,0,0.0,0.0,0,0.6,0.9998881022135416,0.0,0.0,0.0,0.0,0.2,128.0,opensemcom_no_channel,0.0,1.0,0.3,0.1,64.0,0.0,0,0.0,0.01,full-open-mild
0,0,0.0,0.0,0,0.98125,0.9910913592272413,0.0,0.013089005235602094,0.0,0.0,0.2,128.0,opensemcom_progressive,0.0,1.0,0.3,0.1,64.0,0.0,0,0.0,0.01,full-open-mild
0,0,0.0,0.0,0,0.98125,0.9910913592272413,0.0,0.013089005235602094,0.0,0.0,0.2,128.0,dino_detector,0.0,1.0,0.45,0.1,64.0,0.0,0,0.0,0.01,full-open-mild
0,0,0.0,0.0,0,0.996875,0.999725341796875,0.0,0.0,0.0,0.0,0.2,128.0,ensemble_detector,0.0,1.0,0.45,0.1,64.0,0.0,0,0.0,0.01,full-open-mild
0,0,0.0,0.0,0,0.9421875,0.9088295605323469,0.0,0.4037433155080214,0.0,0.0,0.2,128.0,deepjscc_pca,0.0,1.0,0.45,0.1,64.0,0.0,0,0.0,0.01,full-open-mild
0,0,0.0,0.0,0,0.9953125,0.9997456868489584,0.0,0.0,0.0,0.0,0.2,128.0,witt_context_style,0.0,1.0,0.45,0.1,64.0,0.0,0,0.0,0.01,full-open-mild
