accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,goodput_per_latency,goodput_per_resource,latency_per_sample,latency_units,method,refine_rate,reject_rate,resource_budget,resource_per_sample,resource_units,retransmission_rate,seed,semantic_goodput,target_openout,task
0,0,0.0,0.0,0,0.875,0.9515625,0.0,0.1125,0.0,0.0,0.2,25.6,dino_detector,0.0,1.0,0.6,0.1,12.8,0.0,0,0.0,0.05,full-open-mild
0,0,0.0,0.0,0,0.984375,0.9993742177722152,0.0,0.0,0.0,0.0,0.2,25.6,ensemble_detector,0.0,1.0,0.6,0.1,12.8,0.0,0,0.0,0.05,full-open-mild
0,0,0.0,0.0,0,0.8515625,0.834733893557423,0.0,0.4155844155844156,0.0,0.0,0.2,25.6,deepjscc_pca,0.0,1.0,0.6,0.1,12.8,0.0,0,0.0,0.05,full-open-mild
0,0,0.0,0.0,0,0.984375,0.9993742177722152,0.0,0.0,0.0,0.0,0.2,25.6,witt_context_style,0.0,1.0,0.6,0.1,12.8,0.0,0,0.0,0.05,full-open-mild
0,0,0.0,0.0,0,0.984375,0.9993742177722152,0.0,0.0,0.0,0.0,0.2,25.6,fixed_refine_all,0.0,1.0,0.6,0.1,12.8,0.0,0,0.0,0.05,full-open-mild
1,1,1.0,0.0,0,0.75,1.0,0.0078125,0.0,0.03787878787878787,0.07194244604316546,0.20625000000000002,26.400000000000002,opensemcom_receiver_only,0.0,0.9921875,0.6,0.10859375,13.9,0.0,0,0.0078125,0.05,full-open-mild
2,2,1.0,0.0,0,0.75,0.9993489583333334,0.015625,0.0,0.07352941176470587,0.1333333333333333,0.21250000000000002,27.200000000000003,opensemcom_no_channel,0.0,0.984375,0.6,0.11718750000000001,15.000000000000002,0.0,0,0.015625,0.05,full-open-mild
0,0,0.0,0.0,0,0.875,0.9515625,0.0,0.1125,0.0,0.0,0.2,25.6,opensemcom_progressive,0.0,1.0,0.6,0.1,12.8,0.0,0,0.0,0.05,full-open-mild
0,0,0.0,0.0,0,0.9453125,0.8814285714285715,0.0,0.17857142857142858,0.0,0.0,0.2,25.6,dino_detector,0.0,1.0,0.6,0.1,12.8,0.0,0,0.0,0.05,full-open-extreme
0,0,0.0,0.0,0,0.984375,0.9973958333333334,0.0,0.03125,0.0,0.0,0.2,25.6,ensemble_detector,0.0,1.0,0.6,0.1,12.8,0.0,0,0.0,0.05,full-open-extreme
