accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,coverage,goodput_per_resource,method,refine_rate,reject_rate,resource_budget,resource_per_sample,resource_units,seed,semantic_goodput,target_openout,task
0,0,0.0,0.0,0,0.8984375,0.0,0.0,dino_detector,0.0,1.0,0.6,0.1,12.8,0,0.0,0.05,full-open
0,0,0.0,0.0,0,0.9765625,0.0,0.0,ensemble_detector,0.0,1.0,0.6,0.1,12.8,0,0.0,0.05,full-open
0,0,0.0,0.0,0,0.890625,0.0,0.0,deepjscc_pca,0.0,1.0,0.6,0.1,12.8,0,0.0,0.05,full-open
0,0,0.0,0.0,0,0.9765625,0.0,0.0,witt_context_style,0.0,1.0,0.6,0.1,12.8,0,0.0,0.05,full-open
0,0,0.0,0.0,0,0.9765625,0.0,0.0,fixed_refine_all,0.0,1.0,0.6,0.1,12.8,0,0.0,0.05,full-open
0,0,0.0,0.0,0,0.8984375,0.0,0.0,opensemcom_progressive,0.0,1.0,0.6,0.1,12.8,0,0.0,0.05,full-open
1,1,1.0,0.0,0,0.9083969465648855,0.007633587786259542,0.07142857142857142,dino_detector,0.0,0.9923664122137404,0.6,0.10687022900763359,14.0,0,0.007633587786259542,0.05,deepsense-beam
68,65,0.9558823529411765,0.04411764705882353,3,0.916030534351145,0.5190839694656488,0.739476678043231,ensemble_detector,0.0,0.48091603053435117,0.6,0.6709923664122137,87.89999999999999,0,0.4961832061068702,0.05,deepsense-beam
0,0,0.0,0.0,0,0.9007633587786259,0.0,0.0,deepjscc_pca,0.0,1.0,0.6,0.1,13.100000000000001,0,0.0,0.05,deepsense-beam
1,1,1.0,0.0,0,0.916030534351145,0.007633587786259542,0.06944444444444445,witt_context_style,0.0,0.9923664122137404,0.6,0.1099236641221374,14.4,0,0.007633587786259542,0.05,deepsense-beam
1,1,1.0,0.0,0,0.916030534351145,0.007633587786259542,0.0684931506849315,fixed_refine_all,0.0,0.9923664122137404,0.6,0.11145038167938931,14.6,0,0.007633587786259542,0.05,deepsense-beam
51,50,0.9803921568627451,0.0196078431372549,1,0.9083969465648855,0.3893129770992366,0.7012622720897616,opensemcom_progressive,0.09923664122137404,0.6106870229007634,0.6,0.5442748091603054,71.3,0,0.3816793893129771,0.05,deepsense-beam
