accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,coverage,goodput_per_resource,method,refine_rate,reject_rate,resource_budget,resource_per_sample,resource_units,seed,semantic_goodput,target_openout,task
27,27,1.0,0.0,0,0.8984375,0.2109375,0.7277628032345013,dino_detector,0.0,0.7890625,0.6,0.28984375,37.1,0,0.2109375,0.05,full-open
55,54,0.9818181818181818,0.01818181818181818,1,0.9765625,0.4296875,0.7366984993178718,ensemble_detector,0.0,0.5703125,0.6,0.57265625,73.3,0,0.421875,0.05,full-open
22,22,1.0,0.0,0,0.890625,0.171875,0.8461538461538461,deepjscc_pca,0.0,0.828125,0.6,0.203125,26.0,0,0.171875,0.05,full-open
52,52,1.0,0.0,0,0.9765625,0.40625,0.6467661691542289,witt_context_style,0.0,0.59375,0.6,0.6281249999999999,80.39999999999999,0,0.40625,0.05,full-open
44,44,1.0,0.0,0,0.9765625,0.34375,0.5583756345177664,fixed_refine_all,0.0,0.65625,0.6,0.6156250000000001,78.80000000000001,0,0.34375,0.05,full-open
45,45,1.0,0.0,0,0.8984375,0.3515625,0.6502890173410404,opensemcom_progressive,0.1484375,0.6484375,0.6,0.540625,69.2,0,0.3515625,0.05,full-open
3,3,1.0,0.0,0,0.4507042253521127,0.02112676056338028,0.1775147928994083,dino_detector,0.0,0.9788732394366197,0.6,0.11901408450704225,16.9,0,0.02112676056338028,0.05,deepsense-beam
1,1,1.0,0.0,0,0.4014084507042254,0.007042253521126761,0.06535947712418301,ensemble_detector,0.0,0.9929577464788732,0.6,0.10774647887323945,15.3,0,0.007042253521126761,0.05,deepsense-beam
1,1,1.0,0.0,0,0.38028169014084506,0.007042253521126761,0.06756756756756756,deepjscc_pca,0.0,0.9929577464788732,0.6,0.10422535211267606,14.8,0,0.007042253521126761,0.05,deepsense-beam
1,1,1.0,0.0,0,0.4084507042253521,0.007042253521126761,0.06451612903225806,witt_context_style,0.0,0.9929577464788732,0.6,0.1091549295774648,15.500000000000002,0,0.007042253521126761,0.05,deepsense-beam
1,1,1.0,0.0,0,0.4084507042253521,0.007042253521126761,0.06369426751592357,fixed_refine_all,0.0,0.9929577464788732,0.6,0.11056338028169015,15.700000000000001,0,0.007042253521126761,0.05,deepsense-beam
1,1,1.0,0.0,0,0.4507042253521127,0.007042253521126761,0.04424778761061947,opensemcom_progressive,0.035211267605633804,0.9929577464788732,0.6,0.1591549295774648,22.6,0,0.007042253521126761,0.05,deepsense-beam
