cal_goodput,cal_openout,cal_openout_upper,method,q1,q2,qr,resource_budget,seed,target_openout,task,threshold
0.0,0.0,0.0,dino_detector,,,,0.6,0,0.05,full-open,0.000437447397515039
0.0,0.0,0.0,ensemble_detector,,,,0.6,0,0.05,full-open,9.777981879067819e-05
0.0,0.0,0.0,deepjscc_pca,,,,0.6,0,0.05,full-open,-1.1302692351400263e-07
0.0,0.0,0.0,witt_context_style,,,,0.6,0,0.05,full-open,9.790514960973989e-05
0.0,0.0,0.0,fixed_refine_all,,,,0.6,0,0.05,full-open,9.790514960973989e-05
0.0,0.0,0.0,opensemcom_progressive,9.890514960973988e-05,9.890514960973988e-05,9.890514960973988e-05,0.6,0,0.05,full-open,
0.0,0.0,0.0,dino_detector,,,,0.6,0,0.05,deepsense-beam,0.001966460446461122
0.0,0.0,0.0,ensemble_detector,,,,0.6,0,0.05,deepsense-beam,0.000778421264174851
0.0,0.0,0.0,deepjscc_pca,,,,0.6,0,0.05,deepsense-beam,0.0708048139170582
0.0,0.0,0.0,witt_context_style,,,,0.6,0,0.05,deepsense-beam,0.0007461066513923263
0.0,0.0,0.0,fixed_refine_all,,,,0.6,0,0.05,deepsense-beam,0.0007461066513923263
0.0,0.0,0.0,opensemcom_progressive,0.0007471066513923263,0.0007471066513923263,0.0007471066513923263,0.6,0,0.05,deepsense-beam,
