cal_goodput,cal_goodput_per_resource,cal_openout,cal_openout_upper,cal_refine_rate,cal_resource_per_sample,method,q1,q2,qr,resource_budget,route,seed,target_openout,task,threshold
0.0,,0.0,0.0,,,dino_detector,,,,0.3,,0,0.01,full-open,-8.799814725662758e-07
0.0,,0.0,0.0,,,ensemble_detector,,,,0.3,,0,0.01,full-open,-6.118528461426728e-07
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.3,,0,0.01,full-open,-9.99967099539866e-07
0.0,,0.0,0.0,,,witt_context_style,,,,0.3,,0,0.01,full-open,-6.29770909960487e-07
0.0,,0.0,0.0,,,fixed_refine_all,,,,0.3,,0,0.01,full-open,-6.29770909960487e-07
0.0,,0.0,0.0,,,opensemcom_receiver_only,,,,0.3,,0,0.01,full-open,5.80988700398667e-05
0.0,,0.0,0.0,,,opensemcom_no_channel,,,,0.3,,0,0.01,full-open,6.364369915751213e-05
0.0,0.0,0.0,0.0,0.0,0.0,opensemcom_progressive,-8.799814725662758e-07,-8.799814725662758e-07,-6.29770909960487e-07,0.3,dino_core,0,0.01,full-open,
0.0,,0.0,0.0,,,dino_detector,,,,0.45,,0,0.01,full-open,-8.799814725662758e-07
0.2925347222222222,,0.0,0.00791781673622036,,,ensemble_detector,,,,0.45,,0,0.01,full-open,0.002406134038552529
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.45,,0,0.01,full-open,-9.99967099539866e-07
0.25,,0.0,0.00925248099691217,,,witt_context_style,,,,0.45,,0,0.01,full-open,0.0008687186966857067
0.0,,0.0,0.0,,,fixed_refine_all,,,,0.45,,0,0.01,full-open,-6.29770909960487e-07
0.25,,0.0,0.00925248099691217,,,opensemcom_receiver_only,,,,0.45,,0,0.01,full-open,0.0001786427485332718
0.25,,0.0,0.00925248099691217,,,opensemcom_no_channel,,,,0.45,,0,0.01,full-open,0.00019947265854677144
0.2977430555555556,0.6809608894183045,0.0,0.007780390269189469,0.050347222222222224,0.43723958333333335,opensemcom_progressive,0.00031797713939606803,0.06253726814600329,0.0011175735800714951,0.45,trained_receiver_no_channel_core,0,0.01,full-open,
0.0,,0.0,0.0,,,dino_detector,,,,0.6,,0,0.01,full-open,-8.799814725662758e-07
0.2925347222222222,,0.0,0.00791781673622036,,,ensemble_detector,,,,0.6,,0,0.01,full-open,0.002406134038552529
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.6,,0,0.01,full-open,-9.99967099539866e-07
0.2916666666666667,,0.0,0.007941194533283572,,,witt_context_style,,,,0.6,,0,0.01,full-open,0.00225614609481167
0.2916666666666667,,0.0,0.007941194533283572,,,fixed_refine_all,,,,0.6,,0,0.01,full-open,0.00225614609481167
0.25,,0.0,0.00925248099691217,,,opensemcom_receiver_only,,,,0.6,,0,0.01,full-open,0.0001786427485332718
0.25,,0.0,0.00925248099691217,,,opensemcom_no_channel,,,,0.6,,0,0.01,full-open,0.00019947265854677144
0.3072916666666667,0.6113989637305699,0.0,0.007540449735568403,0.1684027777777778,0.5026041666666666,opensemcom_progressive,0.0008721464235350026,0.13546679665021208,0.009561012485361647,0.6,dino_core,0,0.01,full-open,
0.0,,0.0,0.0,,,dino_detector,,,,0.8,,0,0.01,full-open,-8.799814725662758e-07
0.2925347222222222,,0.0,0.00791781673622036,,,ensemble_detector,,,,0.8,,0,0.01,full-open,0.002406134038552529
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.8,,0,0.01,full-open,-9.99967099539866e-07
0.2916666666666667,,0.0,0.007941194533283572,,,witt_context_style,,,,0.8,,0,0.01,full-open,0.00225614609481167
0.2916666666666667,,0.0,0.007941194533283572,,,fixed_refine_all,,,,0.8,,0,0.01,full-open,0.00225614609481167
0.25,,0.0,0.00925248099691217,,,opensemcom_receiver_only,,,,0.8,,0,0.01,full-open,0.0001786427485332718
0.25,,0.0,0.00925248099691217,,,opensemcom_no_channel,,,,0.8,,0,0.01,full-open,0.00019947265854677144
0.3072916666666667,0.6113989637305699,0.0,0.007540449735568403,0.1684027777777778,0.5026041666666666,opensemcom_progressive,0.0008721464235350026,0.13546679665021208,0.009561012485361647,0.8,dino_core,0,0.01,full-open,
0.0,,0.0,0.0,,,dino_detector,,,,1.0,,0,0.01,full-open,-8.799814725662758e-07
0.2925347222222222,,0.0,0.00791781673622036,,,ensemble_detector,,,,1.0,,0,0.01,full-open,0.002406134038552529
0.0,,0.0,0.0,,,deepjscc_pca,,,,1.0,,0,0.01,full-open,-9.99967099539866e-07
0.2916666666666667,,0.0,0.007941194533283572,,,witt_context_style,,,,1.0,,0,0.01,full-open,0.00225614609481167
0.2916666666666667,,0.0,0.007941194533283572,,,fixed_refine_all,,,,1.0,,0,0.01,full-open,0.00225614609481167
0.25,,0.0,0.00925248099691217,,,opensemcom_receiver_only,,,,1.0,,0,0.01,full-open,0.0001786427485332718
0.25,,0.0,0.00925248099691217,,,opensemcom_no_channel,,,,1.0,,0,0.01,full-open,0.00019947265854677144
