cal_goodput,cal_goodput_per_resource,cal_openout,cal_openout_upper,cal_refine_rate,cal_resource_per_sample,method,q1,q2,qr,resource_budget,route,seed,target_openout,task,threshold
0.0,,0.0,0.0,,,dino_detector,,,,0.6,,0,0.05,full-open,0.000437447397515039
0.0,,0.0,0.0,,,ensemble_detector,,,,0.6,,0,0.05,full-open,9.777981879067819e-05
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.6,,0,0.05,full-open,-1.1302692351400263e-07
0.0,,0.0,0.0,,,witt_context_style,,,,0.6,,0,0.05,full-open,9.790514960973989e-05
0.0,,0.0,0.0,,,fixed_refine_all,,,,0.6,,0,0.05,full-open,9.790514960973989e-05
0.0,,0.0,0.0,,,opensemcom_receiver_only,,,,0.6,,0,0.05,full-open,0.00044948505070413665
0.0,,0.0,0.0,,,opensemcom_no_channel,,,,0.6,,0,0.05,full-open,0.000540511177159779
0.0,0.0,0.0,0.0,0.0,0.1,opensemcom_progressive,9.890514960973988e-05,9.890514960973988e-05,9.890514960973988e-05,0.6,dino_core,0,0.05,full-open,
0.0,,0.0,0.0,,,dino_detector,,,,0.6,,0,0.05,deepsense-beam,5.154905647567032e-05
0.4140625,,0.0,0.0482962707579153,,,ensemble_detector,,,,0.6,,0,0.05,deepsense-beam,0.0026974384735462997
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.6,,0,0.05,deepsense-beam,0.0011835795347757427
0.0,,0.0,0.0,,,witt_context_style,,,,0.6,,0,0.05,deepsense-beam,8.9985067476549e-06
0.0,,0.0,0.0,,,fixed_refine_all,,,,0.6,,0,0.05,deepsense-beam,8.9985067476549e-06
0.4140625,,0.0,0.0482962707579153,,,opensemcom_receiver_only,,,,0.6,,0,0.05,deepsense-beam,0.0020326347631323773
0.4140625,,0.0,0.0482962707579153,,,opensemcom_no_channel,,,,0.6,,0,0.05,deepsense-beam,0.002137834540219016
0.5234375,0.9165526675786595,0.0,0.03859399393883735,0.0,0.57109375,opensemcom_progressive,0.0037113376009677568,0.0037113376009677568,9.9985067476549e-06,0.6,dino_channel_fusion_core,0,0.05,deepsense-beam,
