accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
1,1,1.0,0.0,0,0.6,0.9998575846354166,0.0015625,0.0,1.0,opensemcom,0.25,0,0.0015625,mild,3.3286649834071306e-07
7,7,1.0,0.0,0,0.6,0.9998575846354166,0.0109375,0.0,1.0,opensemcom,0.25,0,0.0109375,mild,3.2484927894623922e-06
13,13,1.0,0.0,0,0.6,0.9998575846354166,0.0203125,0.0,1.0,opensemcom,0.25,0,0.0203125,mild,6.034487784064512e-06
20,20,1.0,0.0,0,0.6,0.9998575846354166,0.03125,0.0,1.0,opensemcom,0.25,0,0.03125,mild,7.367749060701592e-06
26,26,1.0,0.0,0,0.6,0.9998575846354166,0.040625,0.0,1.0,opensemcom,0.25,0,0.040625,mild,1.0262688943160878e-05
32,32,1.0,0.0,0,0.6,0.9998575846354166,0.05,0.0,1.0,opensemcom,0.25,0,0.05,mild,1.4191593488746673e-05
39,39,1.0,0.0,0,0.6,0.9998575846354166,0.0609375,0.0,1.0,opensemcom,0.25,0,0.0609375,mild,1.5695622736083167e-05
46,46,1.0,0.0,0,0.6,0.9998575846354166,0.071875,0.0,1.0,opensemcom,0.25,0,0.071875,mild,1.6702737962734405e-05
53,53,1.0,0.0,0,0.6,0.9998575846354166,0.0828125,0.0,1.0,opensemcom,0.25,0,0.0828125,mild,1.9988932650869104e-05
59,59,1.0,0.0,0,0.6,0.9998575846354166,0.0921875,0.0,1.0,opensemcom,0.25,0,0.0921875,mild,2.33416827075651e-05
64,64,1.0,0.0,0,0.6,0.9998575846354166,0.1,0.0,1.0,opensemcom,0.25,0,0.1,mild,2.5394638510588984e-05
71,71,1.0,0.0,0,0.6,0.9998575846354166,0.1109375,0.0,1.0,opensemcom,0.25,0,0.1109375,mild,3.172478333753472e-05
77,77,1.0,0.0,0,0.6,0.9998575846354166,0.1203125,0.0,1.0,opensemcom,0.25,0,0.1203125,mild,3.245419727905243e-05
84,84,1.0,0.0,0,0.6,0.9998575846354166,0.13125,0.0,1.0,opensemcom,0.25,0,0.13125,mild,4.017681040588785e-05
91,91,1.0,0.0,0,0.6,0.9998575846354166,0.1421875,0.0,1.0,opensemcom,0.25,0,0.1421875,mild,5.1201344697975085e-05
97,97,1.0,0.0,0,0.6,0.9998575846354166,0.1515625,0.0,1.0,opensemcom,0.25,0,0.1515625,mild,5.421795026336082e-05
103,103,1.0,0.0,0,0.6,0.9998575846354166,0.1609375,0.0,1.0,opensemcom,0.25,0,0.1609375,mild,5.96995246338164e-05
109,109,1.0,0.0,0,0.6,0.9998575846354166,0.1703125,0.0,1.0,opensemcom,0.25,0,0.1703125,mild,6.884293031097848e-05
116,116,1.0,0.0,0,0.6,0.9998575846354166,0.18125,0.0,1.0,opensemcom,0.25,0,0.18125,mild,8.128412285665991e-05
122,122,1.0,0.0,0,0.6,0.9998575846354166,0.190625,0.0,1.0,opensemcom,0.25,0,0.190625,mild,9.362942617730348e-05
128,128,1.0,0.0,0,0.6,0.9998575846354166,0.2,0.0,1.0,opensemcom,0.25,0,0.2,mild,0.0001017631570958322
135,135,1.0,0.0,0,0.6,0.9998575846354166,0.2109375,0.0,1.0,opensemcom,0.25,0,0.2109375,mild,0.00011192725462930782
141,141,1.0,0.0,0,0.6,0.9998575846354166,0.2203125,0.0,1.0,opensemcom,0.25,0,0.2203125,mild,0.00012535810194483067
147,147,1.0,0.0,0,0.6,0.9998575846354166,0.2296875,0.0,1.0,opensemcom,0.25,0,0.2296875,mild,0.00013790587863856803
154,154,1.0,0.0,0,0.6,0.9998575846354166,0.240625,0.0,1.0,opensemcom,0.25,0,0.240625,mild,0.00015844870224313956
160,160,1.0,0.0,0,0.6,0.9998575846354166,0.25,0.0,1.0,opensemcom,0.25,0,0.25,mild,0.0001784490113132383
167,167,1.0,0.0,0,0.6,0.9998575846354166,0.2609375,0.0,1.0,opensemcom,0.25,0,0.2609375,mild,0.0002211507642155332
173,173,1.0,0.0,0,0.6,0.9998575846354166,0.2703125,0.0,1.0,opensemcom,0.25,0,0.2703125,mild,0.0002521734898548022
179,179,1.0,0.0,0,0.6,0.9998575846354166,0.2796875,0.0,1.0,opensemcom,0.25,0,0.2796875,mild,0.0003072808254263692
186,186,1.0,0.0,0,0.6,0.9998575846354166,0.290625,0.0,1.0,opensemcom,0.25,0,0.290625,mild,0.000335445956503857
194,194,1.0,0.0,0,0.6,0.9998575846354166,0.303125,0.0,1.0,opensemcom,0.25,0,0.303125,mild,0.00036518807249335416
199,199,1.0,0.0,0,0.6,0.9998575846354166,0.3109375,0.0,1.0,opensemcom,0.25,0,0.3109375,mild,0.0003828389565194686
206,206,1.0,0.0,0,0.6,0.9998575846354166,0.321875,0.0,1.0,opensemcom,0.25,0,0.321875,mild,0.0004190041944406975
211,211,1.0,0.0,0,0.6,0.9998575846354166,0.3296875,0.0,1.0,opensemcom,0.25,0,0.3296875,mild,0.00048616111696905335
218,218,1.0,0.0,0,0.6,0.9998575846354166,0.340625,0.0,1.0,opensemcom,0.25,0,0.340625,mild,0.0005406516011389745
224,224,1.0,0.0,0,0.6,0.9998575846354166,0.35,0.0,1.0,opensemcom,0.25,0,0.35,mild,0.0005778712446502652
231,231,1.0,0.0,0,0.6,0.9998575846354166,0.3609375,0.0,1.0,opensemcom,0.25,0,0.3609375,mild,0.0005933968141069459
237,237,1.0,0.0,0,0.6,0.9998575846354166,0.3703125,0.0,1.0,opensemcom,0.25,0,0.3703125,mild,0.0006320176564760127
243,243,1.0,0.0,0,0.6,0.9998575846354166,0.3796875,0.0,1.0,opensemcom,0.25,0,0.3796875,mild,0.000660478539668795
250,250,1.0,0.0,0,0.6,0.9998575846354166,0.390625,0.0,1.0,opensemcom,0.25,0,0.390625,mild,0.0007351885655573413
256,256,1.0,0.0,0,0.6,0.9998575846354166,0.4,0.0,1.0,opensemcom,0.25,0,0.4,mild,0.0008663064103067849
262,262,1.0,0.0,0,0.6,0.9998575846354166,0.409375,0.0,1.0,opensemcom,0.25,0,0.409375,mild,0.0008849313502888833
269,269,1.0,0.0,0,0.6,0.9998575846354166,0.4203125,0.0,1.0,opensemcom,0.25,0,0.4203125,mild,0.0009522173945345687
275,275,1.0,0.0,0,0.6,0.9998575846354166,0.4296875,0.0,1.0,opensemcom,0.25,0,0.4296875,mild,0.0010273052424139635
282,282,1.0,0.0,0,0.6,0.9998575846354166,0.440625,0.0,1.0,opensemcom,0.25,0,0.440625,mild,0.0012150791524784931
288,288,1.0,0.0,0,0.6,0.9998575846354166,0.45,0.0,1.0,opensemcom,0.25,0,0.45,mild,0.0013694564442720955
295,295,1.0,0.0,0,0.6,0.9998575846354166,0.4609375,0.0,1.0,opensemcom,0.25,0,0.4609375,mild,0.0014372855627228464
301,301,1.0,0.0,0,0.6,0.9998575846354166,0.4703125,0.0,1.0,opensemcom,0.25,0,0.4703125,mild,0.0017707620782412242
307,307,1.0,0.0,0,0.6,0.9998575846354166,0.4796875,0.0,1.0,opensemcom,0.25,0,0.4796875,mild,0.0020150020004474265
316,316,1.0,0.0,0,0.6,0.9998575846354166,0.49375,0.0,1.0,opensemcom,0.25,0,0.49375,mild,0.0023827858871146323
320,320,1.0,0.0,0,0.6,0.9998575846354166,0.5,0.0,1.0,opensemcom,0.25,0,0.5,mild,0.002640139967799004
