accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
1,1,1.0,0.0,0,0.6,0.9972432454427084,0.0015625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.0015625,mild,1.3394765119301155e-07
7,7,1.0,0.0,0,0.6,0.9972432454427084,0.0109375,0.0026041666666666665,1.0,opensemcom,0.25,0,0.0109375,mild,3.155561373091587e-07
13,13,1.0,0.0,0,0.6,0.9972432454427084,0.0203125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.0203125,mild,5.358068415262096e-07
20,20,1.0,0.0,0,0.6,0.9972432454427084,0.03125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.03125,mild,6.136161090353198e-07
26,26,1.0,0.0,0,0.6,0.9972432454427084,0.040625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.040625,mild,6.771497737645405e-07
32,32,1.0,0.0,0,0.6,0.9972432454427084,0.05,0.0026041666666666665,1.0,opensemcom,0.25,0,0.05,mild,7.881325188918709e-07
39,39,1.0,0.0,0,0.6,0.9972432454427084,0.0609375,0.0026041666666666665,1.0,opensemcom,0.25,0,0.0609375,mild,1.0202624798694157e-06
45,45,1.0,0.0,0,0.6,0.9972432454427084,0.0703125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.0703125,mild,1.1220708552173165e-06
52,52,1.0,0.0,0,0.6,0.9972432454427084,0.08125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.08125,mild,1.2334928942436818e-06
58,58,1.0,0.0,0,0.6,0.9972432454427084,0.090625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.090625,mild,1.4262554611832455e-06
64,64,1.0,0.0,0,0.6,0.9972432454427084,0.1,0.0026041666666666665,1.0,opensemcom,0.25,0,0.1,mild,1.65484591434506e-06
71,71,1.0,0.0,0,0.6,0.9972432454427084,0.1109375,0.0026041666666666665,1.0,opensemcom,0.25,0,0.1109375,mild,1.8334664298436113e-06
77,77,1.0,0.0,0,0.6,0.9972432454427084,0.1203125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.1203125,mild,2.016395337705035e-06
84,84,1.0,0.0,0,0.6,0.9972432454427084,0.13125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.13125,mild,2.2954258679419587e-06
90,90,1.0,0.0,0,0.6,0.9972432454427084,0.140625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.140625,mild,2.579864540166455e-06
96,96,1.0,0.0,0,0.6,0.9972432454427084,0.15,0.0026041666666666665,1.0,opensemcom,0.25,0,0.15,mild,2.833020585057966e-06
103,103,1.0,0.0,0,0.6,0.9972432454427084,0.1609375,0.0026041666666666665,1.0,opensemcom,0.25,0,0.1609375,mild,3.0686965510540185e-06
109,109,1.0,0.0,0,0.6,0.9972432454427084,0.1703125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.1703125,mild,3.277922583038162e-06
116,116,1.0,0.0,0,0.6,0.9972432454427084,0.18125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.18125,mild,3.451303077781631e-06
