accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,target_openout,threshold
388,382,0.9845360824742269,0.015463917525773196,6,0.6,0.9964396158854166,0.60625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.596875,mild,openout<=0.05,0.035095933340490465
392,383,0.9770408163265306,0.02295918367346939,9,0.6,0.9964396158854166,0.6125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.5984375,mild,openout<=0.10,0.40708620309829513
310,308,0.9935483870967742,0.0064516129032258064,2,0.6,0.9884033203125,0.484375,0.033854166666666664,1.0,msp,0.25,0,0.48125,mild,openout<=0.05,0.001345483789158931
376,368,0.9787234042553191,0.02127659574468085,8,0.6,0.9884033203125,0.5875,0.033854166666666664,1.0,msp,0.25,0,0.575,mild,openout<=0.10,0.005329610637374869
295,293,0.9932203389830508,0.006779661016949152,2,0.6,0.98895263671875,0.4609375,0.033854166666666664,1.0,energy,0.25,0,0.4578125,mild,openout<=0.05,0.005702358226554749
387,373,0.9638242894056848,0.03617571059431524,14,0.6,0.98895263671875,0.6046875,0.033854166666666664,1.0,energy,0.25,0,0.5828125,mild,openout<=0.10,0.035650343474565915
325,325,1.0,0.0,0,0.6,0.9993184407552084,0.5078125,0.0,1.0,mahalanobis,0.25,0,0.5078125,mild,openout<=0.05,0.1883003189511273
378,376,0.9947089947089947,0.005291005291005291,2,0.6,0.9993184407552084,0.590625,0.0,1.0,mahalanobis,0.25,0,0.5875,mild,openout<=0.10,0.25017875041916393
223,223,1.0,0.0,0,0.6,0.9981689453125,0.3484375,0.0,1.0,openmax,0.25,0,0.3484375,mild,openout<=0.05,0.12926819222061817
285,285,1.0,0.0,0,0.6,0.9981689453125,0.4453125,0.0,1.0,openmax,0.25,0,0.4453125,mild,openout<=0.10,0.16101856964257188
0,0,0.0,0.0,0,0.6,0.5148264567057291,0.0,0.8411458333333334,1.0,vim,0.25,0,0.0,mild,openout<=0.05,-9.999999974752427e-07
34,29,0.8529411764705882,0.14705882352941177,5,0.6,0.5148264567057291,0.053125,0.8411458333333334,1.0,vim,0.25,0,0.0453125,mild,openout<=0.10,0.0014699434977956231
392,384,0.9795918367346939,0.02040816326530612,8,0.6,0.9998575846354166,0.6125,0.0,1.0,one_vs_rest,0.25,0,0.6,mild,openout<=0.05,0.8080175069592378
396,384,0.9696969696969697,0.030303030303030304,12,0.6,0.9998575846354166,0.61875,0.0,1.0,one_vs_rest,0.25,0,0.6,mild,openout<=0.10,0.9335083285965529
