accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
1,1,1.0,0.0,0,0.5984375,0.9923502604166666,0.0015625,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.0015625,mild,1.310438335622166e-07
7,7,1.0,0.0,0,0.5984375,0.9923502604166666,0.0109375,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.0109375,mild,3.759899473720907e-07
13,13,1.0,0.0,0,0.5984375,0.9923502604166666,0.0203125,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.0203125,mild,5.664574939601153e-07
21,21,1.0,0.0,0,0.5984375,0.9923502604166666,0.0328125,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.0328125,mild,6.391369424818549e-07
26,26,1.0,0.0,0,0.5984375,0.9923502604166666,0.040625,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.040625,mild,7.145124800445047e-07
33,33,1.0,0.0,0,0.5984375,0.9923502604166666,0.0515625,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.0515625,mild,7.952545502121211e-07
39,39,1.0,0.0,0,0.5984375,0.9923502604166666,0.0609375,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.0609375,mild,9.852117943864864e-07
45,45,1.0,0.0,0,0.5984375,0.9923502604166666,0.0703125,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.0703125,mild,1.2382968770907611e-06
52,52,1.0,0.0,0,0.5984375,0.9923502604166666,0.08125,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.08125,mild,1.466938329031109e-06
59,59,1.0,0.0,0,0.5984375,0.9923502604166666,0.0921875,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.0921875,mild,1.612162805031403e-06
65,65,1.0,0.0,0,0.5984375,0.9923502604166666,0.1015625,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.1015625,mild,1.7695583665044978e-06
71,71,1.0,0.0,0,0.5984375,0.9923502604166666,0.1109375,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.1109375,mild,1.9981917580480515e-06
77,77,1.0,0.0,0,0.5984375,0.9923502604166666,0.1203125,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.1203125,mild,2.2074724256526675e-06
85,85,1.0,0.0,0,0.5984375,0.9923502604166666,0.1328125,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.1328125,mild,2.5760382413864136e-06
91,91,1.0,0.0,0,0.5984375,0.9923502604166666,0.1421875,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.1421875,mild,2.727775381572428e-06
96,96,1.0,0.0,0,0.5984375,0.9923502604166666,0.15,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.15,mild,3.1092894914763744e-06
103,103,1.0,0.0,0,0.5984375,0.9923502604166666,0.1609375,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.1609375,mild,3.4360300651314908e-06
109,109,1.0,0.0,0,0.5984375,0.9923502604166666,0.1703125,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.1703125,mild,3.691077379244236e-06
116,116,1.0,0.0,0,0.5984375,0.9923502604166666,0.18125,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.18125,mild,4.147032332184608e-06
122,121,0.9918032786885246,0.00819672131147541,1,0.5984375,0.9923502604166666,0.190625,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.1890625,mild,4.40448989138531e-06
128,127,0.9921875,0.0078125,1,0.5984375,0.9923502604166666,0.2,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.1984375,mild,5.042843986302615e-06
135,134,0.9925925925925926,0.007407407407407408,1,0.5984375,0.9923502604166666,0.2109375,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.209375,mild,5.416921731011825e-06
142,141,0.9929577464788732,0.007042253521126761,1,0.5984375,0.9923502604166666,0.221875,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.2203125,mild,5.980236892355606e-06
147,146,0.9931972789115646,0.006802721088435374,1,0.5984375,0.9923502604166666,0.2296875,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.228125,mild,6.912087133059685e-06
154,153,0.9935064935064936,0.006493506493506494,1,0.5984375,0.9923502604166666,0.240625,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.2390625,mild,7.425345538649707e-06
160,159,0.99375,0.00625,1,0.5984375,0.9923502604166666,0.25,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.2484375,mild,7.973327228683047e-06
168,167,0.9940476190476191,0.005952380952380952,1,0.5984375,0.9923502604166666,0.2625,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.2609375,mild,9.016486728796735e-06
173,172,0.9942196531791907,0.005780346820809248,1,0.5984375,0.9923502604166666,0.2703125,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.26875,mild,1.0486212913747296e-05
179,178,0.994413407821229,0.00558659217877095,1,0.5984375,0.9923502604166666,0.2796875,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.278125,mild,1.2006230754195714e-05
186,185,0.9946236559139785,0.005376344086021506,1,0.5984375,0.9923502604166666,0.290625,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.2890625,mild,1.2384674319037003e-05
193,192,0.9948186528497409,0.0051813471502590676,1,0.5984375,0.9923502604166666,0.3015625,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.3,mild,1.3100570868118666e-05
199,198,0.9949748743718593,0.005025125628140704,1,0.5984375,0.9923502604166666,0.3109375,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.309375,mild,1.4095272481426946e-05
205,204,0.9951219512195122,0.004878048780487805,1,0.5984375,0.9923502604166666,0.3203125,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.31875,mild,1.5398520336020738e-05
213,212,0.9953051643192489,0.004694835680751174,1,0.5984375,0.9923502604166666,0.3328125,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.33125,mild,1.64310222316999e-05
218,216,0.9908256880733946,0.009174311926605505,2,0.5984375,0.9923502604166666,0.340625,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.3375,mild,1.7333290816168308e-05
224,222,0.9910714285714286,0.008928571428571428,2,0.5984375,0.9923502604166666,0.35,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.346875,mild,1.856928338384023e-05
231,229,0.9913419913419913,0.008658008658008658,2,0.5984375,0.9923502604166666,0.3609375,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.3578125,mild,1.9926024833694097e-05
237,235,0.9915611814345991,0.008438818565400843,2,0.5984375,0.9923502604166666,0.3703125,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.3671875,mild,2.096508942486253e-05
243,241,0.9917695473251029,0.00823045267489712,2,0.5984375,0.9923502604166666,0.3796875,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.3765625,mild,2.4083638709271324e-05
250,248,0.992,0.008,2,0.5984375,0.9923502604166666,0.390625,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.3875,mild,2.5583841470506744e-05
256,253,0.98828125,0.01171875,3,0.5984375,0.9923502604166666,0.4,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.3953125,mild,3.4503971983213044e-05
262,259,0.9885496183206107,0.011450381679389313,3,0.5984375,0.9923502604166666,0.409375,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.4046875,mild,4.806657787412407e-05
271,268,0.988929889298893,0.01107011070110701,3,0.5984375,0.9923502604166666,0.4234375,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.41875,mild,5.166574192116968e-05
275,272,0.9890909090909091,0.01090909090909091,3,0.5984375,0.9923502604166666,0.4296875,0.0026041666666666665,0.9973958333333334,opensemcom,0.25,0,0.425,mild,5.77575058559887e-05
