auroc,fpr95,known_id_accuracy,known_subset_accuracy,method,open_fraction,samples,seed,severity
0.9923502604166666,0.0026041666666666665,0.5984375,0.9973958333333334,opensemcom,0.25,640,0,mild
0.9884033203125,0.033854166666666664,0.6,1.0,msp,0.25,640,0,mild
0.98895263671875,0.033854166666666664,0.6,1.0,energy,0.25,640,0,mild
0.98138427734375,0.12239583333333333,0.6,1.0,mahalanobis,0.25,640,0,mild
0.9522908528645834,0.2786458333333333,0.6,1.0,openmax,0.25,640,0,mild
0.5210825602213541,0.7916666666666666,0.6,1.0,vim,0.25,640,0,mild
0.9918111165364584,0.0078125,0.6,1.0,one_vs_rest,0.25,640,0,mild
0.9944356282552084,0.0078125,0.42745535714285715,0.9973958333333334,opensemcom,0.5,896,0,medium
0.9840291341145834,0.033854166666666664,0.42857142857142855,1.0,msp,0.5,896,0,medium
0.9844309488932291,0.0390625,0.42857142857142855,1.0,energy,0.5,896,0,medium
0.9856007893880209,0.10416666666666667,0.42857142857142855,1.0,mahalanobis,0.5,896,0,medium
0.9569040934244791,0.23177083333333334,0.42857142857142855,1.0,openmax,0.5,896,0,medium
0.5496164957682291,0.6666666666666666,0.42857142857142855,1.0,vim,0.5,896,0,medium
0.9922027587890625,0.0078125,0.42857142857142855,1.0,one_vs_rest,0.5,896,0,medium
0.9974873860677084,0.00390625,0.2490234375,0.99609375,opensemcom,0.75,1024,0,hard
0.9901072184244791,0.01953125,0.25,1.0,msp,0.75,1024,0,hard
0.9906972249348959,0.015625,0.25,1.0,energy,0.75,1024,0,hard
0.9869842529296875,0.0859375,0.25,1.0,mahalanobis,0.75,1024,0,hard
0.9643758138020834,0.17578125,0.25,1.0,openmax,0.75,1024,0,hard
0.5613632202148438,0.70703125,0.25,1.0,vim,0.75,1024,0,hard
0.9958241780598959,0.00390625,0.25,1.0,one_vs_rest,0.75,1024,0,hard
0.9968977421160664,0.0,0.08984375,1.0,opensemcom,0.91,1024,0,extreme
0.9929557753312185,0.010869565217391304,0.08984375,1.0,msp,0.91,1024,0,extreme
0.9930374136965852,0.0,0.08984375,1.0,energy,0.91,1024,0,extreme
0.9875326553461466,0.11956521739130435,0.08984375,1.0,mahalanobis,0.91,1024,0,extreme
