accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
1,1,1.0,0.0,0,0.69140625,0.9497884114583334,0.00390625,0.3229166666666667,0.921875,opensemcom,0.25,0,0.00390625,mild,0.2942487299442291
13,13,1.0,0.0,0,0.69140625,0.9497884114583334,0.05078125,0.3229166666666667,0.921875,opensemcom,0.25,0,0.05078125,mild,0.31024330109357834
26,26,1.0,0.0,0,0.69140625,0.9497884114583334,0.1015625,0.3229166666666667,0.921875,opensemcom,0.25,0,0.1015625,mild,0.32149821519851685
39,38,0.9743589743589743,0.02564102564102564,1,0.69140625,0.9497884114583334,0.15234375,0.3229166666666667,0.921875,opensemcom,0.25,0,0.1484375,mild,0.33123569935560226
52,47,0.9038461538461539,0.09615384615384616,5,0.69140625,0.9497884114583334,0.203125,0.3229166666666667,0.921875,opensemcom,0.25,0,0.18359375,mild,0.3372887372970581
64,59,0.921875,0.078125,5,0.69140625,0.9497884114583334,0.25,0.3229166666666667,0.921875,opensemcom,0.25,0,0.23046875,mild,0.34241095185279846
77,71,0.922077922077922,0.07792207792207792,6,0.69140625,0.9497884114583334,0.30078125,0.3229166666666667,0.921875,opensemcom,0.25,0,0.27734375,mild,0.34690961241722107
90,83,0.9222222222222223,0.07777777777777778,7,0.69140625,0.9497884114583334,0.3515625,0.3229166666666667,0.921875,opensemcom,0.25,0,0.32421875,mild,0.34993573278188705
103,96,0.9320388349514563,0.06796116504854369,7,0.69140625,0.9497884114583334,0.40234375,0.3229166666666667,0.921875,opensemcom,0.25,0,0.375,mild,0.35272324085235596
115,107,0.9304347826086956,0.06956521739130435,8,0.69140625,0.9497884114583334,0.44921875,0.3229166666666667,0.921875,opensemcom,0.25,0,0.41796875,mild,0.3573959693312645
129,118,0.9147286821705426,0.08527131782945736,11,0.69140625,0.9497884114583334,0.50390625,0.3229166666666667,0.921875,opensemcom,0.25,0,0.4609375,mild,0.3615373373031616
141,129,0.9148936170212766,0.0851063829787234,12,0.69140625,0.9497884114583334,0.55078125,0.3229166666666667,0.921875,opensemcom,0.25,0,0.50390625,mild,0.36805227398872375
154,141,0.9155844155844156,0.08441558441558442,13,0.69140625,0.9497884114583334,0.6015625,0.3229166666666667,0.921875,opensemcom,0.25,0,0.55078125,mild,0.3740254342556
