accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,target_openout,threshold
53,48,0.9056603773584906,0.09433962264150944,5,0.69140625,0.9497884114583334,0.20703125,0.3229166666666667,0.921875,opensemcom,0.25,0,0.1875,mild,openout<=0.05,0.33837590992450717
82,76,0.926829268292683,0.07317073170731707,6,0.69140625,0.9497884114583334,0.3203125,0.3229166666666667,0.921875,opensemcom,0.25,0,0.296875,mild,openout<=0.10,0.3478739434480667
155,153,0.9870967741935484,0.012903225806451613,2,0.71875,0.9696451822916666,0.60546875,0.140625,0.9583333333333334,msp,0.25,0,0.59765625,mild,openout<=0.05,0.027868115893623993
187,176,0.9411764705882353,0.058823529411764705,11,0.71875,0.9696451822916666,0.73046875,0.140625,0.9583333333333334,msp,0.25,0,0.6875,mild,openout<=0.10,0.13780389937081491
157,155,0.9872611464968153,0.012738853503184714,2,0.71875,0.9725748697916666,0.61328125,0.13541666666666666,0.9583333333333334,energy,0.25,0,0.60546875,mild,openout<=0.05,0.09700016919710312
185,175,0.9459459459459459,0.05405405405405406,10,0.71875,0.9725748697916666,0.72265625,0.13541666666666666,0.9583333333333334,energy,0.25,0,0.68359375,mild,openout<=0.10,0.29692528398208473
88,87,0.9886363636363636,0.011363636363636364,1,0.71875,0.9999186197916666,0.34375,0.0,0.9583333333333334,mahalanobis,0.25,0,0.33984375,mild,openout<=0.05,0.3252663958377271
193,184,0.9533678756476683,0.046632124352331605,9,0.71875,0.9999186197916666,0.75390625,0.0,0.9583333333333334,mahalanobis,0.25,0,0.71875,mild,openout<=0.10,0.5053963834871311
138,135,0.9782608695652174,0.021739130434782608,3,0.71875,1.0,0.5390625,0.0,0.9583333333333334,openmax,0.25,0,0.52734375,mild,openout<=0.05,0.16717242599581672
193,184,0.9533678756476683,0.046632124352331605,9,0.71875,1.0,0.75390625,0.0,0.9583333333333334,openmax,0.25,0,0.71875,mild,openout<=0.10,0.36591438519705943
0,0,0.0,0.0,0,0.71875,0.24845377604166666,0.0,0.9375,0.9583333333333334,vim,0.25,0,0.0,mild,openout<=0.05,-9.999999974752427e-07
0,0,0.0,0.0,0,0.71875,0.24845377604166666,0.0,0.9375,0.9583333333333334,vim,0.25,0,0.0,mild,openout<=0.10,-9.999999974752427e-07
169,165,0.9763313609467456,0.023668639053254437,4,0.71875,0.9891764322916666,0.66015625,0.03125,0.9583333333333334,one_vs_rest,0.25,0,0.64453125,mild,openout<=0.05,0.1300802942454139
187,179,0.9572192513368984,0.0427807486631016,8,0.71875,0.9891764322916666,0.73046875,0.03125,0.9583333333333334,one_vs_rest,0.25,0,0.69921875,mild,openout<=0.10,0.45282381127201665
13,9,0.6923076923076923,0.3076923076923077,4,0.08984375,0.9509236797910058,0.05078125,0.4782608695652174,1.0,opensemcom,0.91,0,0.03515625,extreme,openout<=0.05,0.33837590992450717
22,12,0.5454545454545454,0.45454545454545453,10,0.08984375,0.9509236797910058,0.0859375,0.4782608695652174,1.0,opensemcom,0.91,0,0.046875,extreme,openout<=0.10,0.3478739434480667
30,19,0.6333333333333333,0.36666666666666664,11,0.08984375,0.9623064004478448,0.1171875,0.17391304347826086,1.0,msp,0.91,0,0.07421875,extreme,openout<=0.05,0.027868115893623993
57,21,0.3684210526315789,0.631578947368421,36,0.08984375,0.9623064004478448,0.22265625,0.17391304347826086,1.0,msp,0.91,0,0.08203125,extreme,openout<=0.10,0.13780389937081491
31,20,0.6451612903225806,0.3548387096774194,11,0.08984375,0.9660384400074641,0.12109375,0.13043478260869565,1.0,energy,0.91,0,0.078125,extreme,openout<=0.05,0.09700016919710312
55,22,0.4,0.6,33,0.08984375,0.9660384400074641,0.21484375,0.13043478260869565,1.0,energy,0.91,0,0.0859375,extreme,openout<=0.10,0.29692528398208473
41,23,0.5609756097560976,0.43902439024390244,18,0.08984375,0.9992535920880762,0.16015625,0.0,1.0,mahalanobis,0.91,0,0.08984375,extreme,openout<=0.05,0.3252663958377271
41,23,0.5609756097560976,0.43902439024390244,18,0.08984375,0.9992535920880762,0.16015625,0.0,1.0,mahalanobis,0.91,0,0.08984375,extreme,openout<=0.10,0.5053963834871311
41,23,0.5609756097560976,0.43902439024390244,18,0.08984375,0.9979473782422094,0.16015625,0.0,1.0,openmax,0.91,0,0.08984375,extreme,openout<=0.05,0.16717242599581672
41,23,0.5609756097560976,0.43902439024390244,18,0.08984375,0.9979473782422094,0.16015625,0.0,1.0,openmax,0.91,0,0.08984375,extreme,openout<=0.10,0.36591438519705943
0,0,0.0,0.0,0,0.08984375,0.5844373950363874,0.0,0.9130434782608695,1.0,vim,0.91,0,0.0,extreme,openout<=0.05,-9.999999974752427e-07
0,0,0.0,0.0,0,0.08984375,0.5844373950363874,0.0,0.9130434782608695,1.0,vim,0.91,0,0.0,extreme,openout<=0.10,-9.999999974752427e-07
28,21,0.75,0.25,7,0.08984375,0.9880574734092181,0.109375,0.08695652173913043,1.0,one_vs_rest,0.91,0,0.08203125,extreme,openout<=0.05,0.1300802942454139
41,21,0.5121951219512195,0.4878048780487805,20,0.08984375,0.9880574734092181,0.16015625,0.08695652173913043,1.0,one_vs_rest,0.91,0,0.08203125,extreme,openout<=0.10,0.45282381127201665
