accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
1,1,1.0,0.0,0,0.65625,0.9580078125,0.00390625,0.21875,0.875,opensemcom,0.25,0,0.00390625,mild,0.3768126964569092
13,12,0.9230769230769231,0.07692307692307693,1,0.65625,0.9580078125,0.05078125,0.21875,0.875,opensemcom,0.25,0,0.046875,mild,0.4004552513360977
26,21,0.8076923076923077,0.19230769230769232,5,0.65625,0.9580078125,0.1015625,0.21875,0.875,opensemcom,0.25,0,0.08203125,mild,0.40861403942108154
39,33,0.8461538461538461,0.15384615384615385,6,0.65625,0.9580078125,0.15234375,0.21875,0.875,opensemcom,0.25,0,0.12890625,mild,0.4179141893982887
52,46,0.8846153846153846,0.11538461538461539,6,0.65625,0.9580078125,0.203125,0.21875,0.875,opensemcom,0.25,0,0.1796875,mild,0.4228118062019348
64,58,0.90625,0.09375,6,0.65625,0.9580078125,0.25,0.21875,0.875,opensemcom,0.25,0,0.2265625,mild,0.43127914518117905
77,70,0.9090909090909091,0.09090909090909091,7,0.65625,0.9580078125,0.30078125,0.21875,0.875,opensemcom,0.25,0,0.2734375,mild,0.4369793236255646
90,82,0.9111111111111111,0.08888888888888889,8,0.65625,0.9580078125,0.3515625,0.21875,0.875,opensemcom,0.25,0,0.3203125,mild,0.4420423358678818
103,94,0.912621359223301,0.08737864077669903,9,0.65625,0.9580078125,0.40234375,0.21875,0.875,opensemcom,0.25,0,0.3671875,mild,0.44948500394821167
115,104,0.9043478260869565,0.09565217391304348,11,0.65625,0.9580078125,0.44921875,0.21875,0.875,opensemcom,0.25,0,0.40625,mild,0.4540136903524399
128,116,0.90625,0.09375,12,0.65625,0.9580078125,0.5,0.21875,0.875,opensemcom,0.25,0,0.453125,mild,0.4601583033800125
141,127,0.900709219858156,0.09929078014184398,14,0.65625,0.9580078125,0.55078125,0.21875,0.875,opensemcom,0.25,0,0.49609375,mild,0.46832476556301117
154,138,0.8961038961038961,0.1038961038961039,16,0.65625,0.9580078125,0.6015625,0.21875,0.875,opensemcom,0.25,0,0.5390625,mild,0.47463107109069824
166,147,0.8855421686746988,0.1144578313253012,19,0.65625,0.9580078125,0.6484375,0.21875,0.875,opensemcom,0.25,0,0.57421875,mild,0.4848413020372391
