auroc,fpr95,known_id_accuracy,known_subset_accuracy,method,open_fraction,samples,seed,severity
0.9580078125,0.21875,0.65625,0.875,opensemcom,0.25,256,0,mild
0.9689127604166666,0.14583333333333334,0.71875,0.9583333333333334,msp,0.25,256,0,mild
0.9720865885416666,0.140625,0.71875,0.9583333333333334,energy,0.25,256,0,mild
0.9998372395833334,0.0,0.71875,0.9583333333333334,mahalanobis,0.25,256,0,mild
0.994384765625,0.0,0.71875,0.9583333333333334,openmax,0.25,256,0,mild
0.218994140625,1.0,0.71875,0.9583333333333334,vim,0.25,256,0,mild
0.9930013020833334,0.020833333333333332,0.71875,0.9583333333333334,one_vs_rest,0.25,256,0,mild
0.9548423213286061,0.2608695652173913,0.08984375,1.0,opensemcom,0.91,256,0,extreme
0.9632394103377496,0.17391304347826086,0.08984375,1.0,msp,0.91,256,0,extreme
0.966225041985445,0.13043478260869565,0.08984375,1.0,energy,0.91,256,0,extreme
0.9992535920880762,0.0,0.08984375,1.0,mahalanobis,0.91,256,0,extreme
0.9777943646202649,0.17391304347826086,0.08984375,1.0,openmax,0.91,256,0,extreme
0.5823847732785967,1.0,0.08984375,1.0,vim,0.91,256,0,extreme
0.9914163090128756,0.08695652173913043,0.08984375,1.0,one_vs_rest,0.91,256,0,extreme
