accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,target_openout,threshold
92,83,0.9021739130434783,0.09782608695652174,9,0.65625,0.9580078125,0.359375,0.21875,0.875,opensemcom,0.25,0,0.32421875,mild,openout<=0.05,0.44307406693696977
138,125,0.9057971014492754,0.09420289855072464,13,0.65625,0.9580078125,0.5390625,0.21875,0.875,opensemcom,0.25,0,0.48828125,mild,openout<=0.10,0.4659619343280792
155,153,0.9870967741935484,0.012903225806451613,2,0.71875,0.9689127604166666,0.60546875,0.14583333333333334,0.9583333333333334,msp,0.25,0,0.59765625,mild,openout<=0.05,0.02855130518056015
188,177,0.9414893617021277,0.05851063829787234,11,0.71875,0.9689127604166666,0.734375,0.14583333333333334,0.9583333333333334,msp,0.25,0,0.69140625,mild,openout<=0.10,0.14003692227291942
156,154,0.9871794871794872,0.01282051282051282,2,0.71875,0.9720865885416666,0.609375,0.140625,0.9583333333333334,energy,0.25,0,0.6015625,mild,openout<=0.05,0.09512082800153841
186,176,0.946236559139785,0.053763440860215055,10,0.71875,0.9720865885416666,0.7265625,0.140625,0.9583333333333334,energy,0.25,0,0.6875,mild,openout<=0.10,0.29333380281688326
75,75,1.0,0.0,0,0.71875,0.9998372395833334,0.29296875,0.0,0.9583333333333334,mahalanobis,0.25,0,0.29296875,mild,openout<=0.05,0.35354907039783184
193,184,0.9533678756476683,0.046632124352331605,9,0.71875,0.9998372395833334,0.75390625,0.0,0.9583333333333334,mahalanobis,0.25,0,0.71875,mild,openout<=0.10,0.5262796521741787
71,68,0.9577464788732394,0.04225352112676056,3,0.71875,0.994384765625,0.27734375,0.0,0.9583333333333334,openmax,0.25,0,0.265625,mild,openout<=0.05,0.1379219432040792
192,183,0.953125,0.046875,9,0.71875,0.994384765625,0.75,0.0,0.9583333333333334,openmax,0.25,0,0.71484375,mild,openout<=0.10,0.4103155649934366
0,0,0.0,0.0,0,0.71875,0.218994140625,0.0,1.0,0.9583333333333334,vim,0.25,0,0.0,mild,openout<=0.05,-9.999999974752427e-07
0,0,0.0,0.0,0,0.71875,0.218994140625,0.0,1.0,0.9583333333333334,vim,0.25,0,0.0,mild,openout<=0.10,-9.999999974752427e-07
175,170,0.9714285714285714,0.02857142857142857,5,0.71875,0.9930013020833334,0.68359375,0.020833333333333332,0.9583333333333334,one_vs_rest,0.25,0,0.6640625,mild,openout<=0.05,0.18822171510123292
190,182,0.9578947368421052,0.042105263157894736,8,0.71875,0.9930013020833334,0.7421875,0.020833333333333332,0.9583333333333334,one_vs_rest,0.25,0,0.7109375,mild,openout<=0.10,0.5391313142510943
15,10,0.6666666666666666,0.3333333333333333,5,0.08984375,0.9548423213286061,0.05859375,0.2608695652173913,1.0,opensemcom,0.91,0,0.0390625,extreme,openout<=0.05,0.44307406693696977
28,17,0.6071428571428571,0.39285714285714285,11,0.08984375,0.9548423213286061,0.109375,0.2608695652173913,1.0,opensemcom,0.91,0,0.06640625,extreme,openout<=0.10,0.4659619343280792
30,19,0.6333333333333333,0.36666666666666664,11,0.08984375,0.9632394103377496,0.1171875,0.17391304347826086,1.0,msp,0.91,0,0.07421875,extreme,openout<=0.05,0.02855130518056015
57,21,0.3684210526315789,0.631578947368421,36,0.08984375,0.9632394103377496,0.22265625,0.17391304347826086,1.0,msp,0.91,0,0.08203125,extreme,openout<=0.10,0.14003692227291942
30,19,0.6333333333333333,0.36666666666666664,11,0.08984375,0.966225041985445,0.1171875,0.13043478260869565,1.0,energy,0.91,0,0.07421875,extreme,openout<=0.05,0.09512082800153841
55,22,0.4,0.6,33,0.08984375,0.966225041985445,0.21484375,0.13043478260869565,1.0,energy,0.91,0,0.0859375,extreme,openout<=0.10,0.29333380281688326
41,23,0.5609756097560976,0.43902439024390244,18,0.08984375,0.9992535920880762,0.16015625,0.0,1.0,mahalanobis,0.91,0,0.08984375,extreme,openout<=0.05,0.35354907039783184
41,23,0.5609756097560976,0.43902439024390244,18,0.08984375,0.9992535920880762,0.16015625,0.0,1.0,mahalanobis,0.91,0,0.08984375,extreme,openout<=0.10,0.5262796521741787
39,22,0.5641025641025641,0.4358974358974359,17,0.08984375,0.9777943646202649,0.15234375,0.17391304347826086,1.0,openmax,0.91,0,0.0859375,extreme,openout<=0.05,0.1379219432040792
41,23,0.5609756097560976,0.43902439024390244,18,0.08984375,0.9777943646202649,0.16015625,0.17391304347826086,1.0,openmax,0.91,0,0.08984375,extreme,openout<=0.10,0.4103155649934366
0,0,0.0,0.0,0,0.08984375,0.5823847732785967,0.0,1.0,1.0,vim,0.91,0,0.0,extreme,openout<=0.05,-9.999999974752427e-07
0,0,0.0,0.0,0,0.08984375,0.5823847732785967,0.0,1.0,1.0,vim,0.91,0,0.0,extreme,openout<=0.10,-9.999999974752427e-07
28,21,0.75,0.25,7,0.08984375,0.9914163090128756,0.109375,0.08695652173913043,1.0,one_vs_rest,0.91,0,0.08203125,extreme,openout<=0.05,0.18822171510123292
43,23,0.5348837209302325,0.46511627906976744,20,0.08984375,0.9914163090128756,0.16796875,0.08695652173913043,1.0,one_vs_rest,0.91,0,0.08984375,extreme,openout<=0.10,0.5391313142510943
