accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
1,1,1.0,0.0,0,0.40234375,0.8817545572916666,0.00390625,0.515625,0.5364583333333334,opensemcom,0.25,0,0.00390625,mild,0.4305754005908966
26,21,0.8076923076923077,0.19230769230769232,5,0.40234375,0.8817545572916666,0.1015625,0.515625,0.5364583333333334,opensemcom,0.25,0,0.08203125,mild,0.4673914164304733
52,36,0.6923076923076923,0.3076923076923077,16,0.40234375,0.8817545572916666,0.203125,0.515625,0.5364583333333334,opensemcom,0.25,0,0.140625,mild,0.48315224051475525
77,50,0.6493506493506493,0.35064935064935066,27,0.40234375,0.8817545572916666,0.30078125,0.515625,0.5364583333333334,opensemcom,0.25,0,0.1953125,mild,0.4908280223608017
103,65,0.6310679611650486,0.36893203883495146,38,0.40234375,0.8817545572916666,0.40234375,0.515625,0.5364583333333334,opensemcom,0.25,0,0.25390625,mild,0.4990403652191162
128,76,0.59375,0.40625,52,0.40234375,0.8817545572916666,0.5,0.515625,0.5364583333333334,opensemcom,0.25,0,0.296875,mild,0.5070788562297821
154,87,0.564935064935065,0.43506493506493504,67,0.40234375,0.8817545572916666,0.6015625,0.515625,0.5364583333333334,opensemcom,0.25,0,0.33984375,mild,0.5122988224029541
179,94,0.5251396648044693,0.4748603351955307,85,0.40234375,0.8817545572916666,0.69921875,0.515625,0.5364583333333334,opensemcom,0.25,0,0.3671875,mild,0.5245848000049591
205,101,0.4926829268292683,0.5073170731707317,104,0.40234375,0.8817545572916666,0.80078125,0.515625,0.5364583333333334,opensemcom,0.25,0,0.39453125,mild,0.5374455451965332
230,103,0.44782608695652176,0.5521739130434783,127,0.40234375,0.8817545572916666,0.8984375,0.515625,0.5364583333333334,opensemcom,0.25,0,0.40234375,mild,0.5571272075176239
256,103,0.40234375,0.59765625,153,0.40234375,0.8817545572916666,1.0,0.515625,0.5364583333333334,opensemcom,0.25,0,0.40234375,mild,0.6166086792945862
2,2,1.0,0.0,0,0.71875,0.9606119791666666,0.0078125,0.13541666666666666,0.9583333333333334,msp,0.25,0,0.0078125,mild,6.617448100842971e-05
26,26,1.0,0.0,0,0.71875,0.9606119791666666,0.1015625,0.13541666666666666,0.9583333333333334,msp,0.25,0,0.1015625,mild,0.0008910404525451221
53,53,1.0,0.0,0,0.71875,0.9606119791666666,0.20703125,0.13541666666666666,0.9583333333333334,msp,0.25,0,0.20703125,mild,0.0017989778048533855
77,77,1.0,0.0,0,0.71875,0.9606119791666666,0.30078125,0.13541666666666666,0.9583333333333334,msp,0.25,0,0.30078125,mild,0.003942837422681203
103,102,0.9902912621359223,0.009708737864077669,1,0.71875,0.9606119791666666,0.40234375,0.13541666666666666,0.9583333333333334,msp,0.25,0,0.3984375,mild,0.009015548680776142
128,127,0.9921875,0.0078125,1,0.71875,0.9606119791666666,0.5,0.13541666666666666,0.9583333333333334,msp,0.25,0,0.49609375,mild,0.020180127631048872
