accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,target_openout,threshold
3,3,1.0,0.0,0,0.40234375,0.8817545572916666,0.01171875,0.515625,0.5364583333333334,opensemcom,0.25,0,0.01171875,mild,openout<=0.05,0.44779109954833984
3,3,1.0,0.0,0,0.40234375,0.8817545572916666,0.01171875,0.515625,0.5364583333333334,opensemcom,0.25,0,0.01171875,mild,openout<=0.10,0.44779109954833984
88,88,1.0,0.0,0,0.71875,0.9606119791666666,0.34375,0.13541666666666666,0.9583333333333334,msp,0.25,0,0.34375,mild,openout<=0.05,0.004845605094555755
161,157,0.9751552795031055,0.024844720496894408,4,0.71875,0.9606119791666666,0.62890625,0.13541666666666666,0.9583333333333334,msp,0.25,0,0.61328125,mild,openout<=0.10,0.07229860449735112
85,85,1.0,0.0,0,0.71875,0.965576171875,0.33203125,0.13541666666666666,0.9583333333333334,energy,0.25,0,0.33203125,mild,openout<=0.05,0.01923329952306233
166,162,0.9759036144578314,0.024096385542168676,4,0.71875,0.965576171875,0.6484375,0.13541666666666666,0.9583333333333334,energy,0.25,0,0.6328125,mild,openout<=0.10,0.20743957788636785
27,27,1.0,0.0,0,0.71875,0.945556640625,0.10546875,0.3385416666666667,0.9583333333333334,mahalanobis,0.25,0,0.10546875,mild,openout<=0.05,0.04035962029831312
27,27,1.0,0.0,0,0.71875,0.945556640625,0.10546875,0.3385416666666667,0.9583333333333334,mahalanobis,0.25,0,0.10546875,mild,openout<=0.10,0.3117842861703663
17,17,1.0,0.0,0,0.71875,0.96240234375,0.06640625,0.22916666666666666,0.9583333333333334,openmax,0.25,0,0.06640625,mild,openout<=0.05,0.018402065472286754
93,92,0.989247311827957,0.010752688172043012,1,0.71875,0.96240234375,0.36328125,0.22916666666666666,0.9583333333333334,openmax,0.25,0,0.359375,mild,openout<=0.10,0.3290568845272429
0,0,0.0,0.0,0,0.71875,0.2832845052083333,0.0,1.0,0.9583333333333334,vim,0.25,0,0.0,mild,openout<=0.05,-9.999999974752427e-07
0,0,0.0,0.0,0,0.71875,0.2832845052083333,0.0,1.0,0.9583333333333334,vim,0.25,0,0.0,mild,openout<=0.10,-9.999999974752427e-07
142,134,0.9436619718309859,0.056338028169014086,8,0.71875,0.9440104166666666,0.5546875,0.296875,0.9583333333333334,one_vs_rest,0.25,0,0.5234375,mild,openout<=0.05,0.07297232198162767
164,156,0.9512195121951219,0.04878048780487805,8,0.71875,0.9440104166666666,0.640625,0.296875,0.9583333333333334,one_vs_rest,0.25,0,0.609375,mild,openout<=0.10,0.18410166265739736
