accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
1,1,1.0,0.0,0,0.25,0.9985758463541666,dino+siglip2+openclip,0.0009765625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.0009765625,hard,1.516404100779962e-07
11,11,1.0,0.0,0,0.25,0.9985758463541666,dino+siglip2+openclip,0.0107421875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.0107421875,hard,1.123345507533031e-06
21,21,1.0,0.0,0,0.25,0.9985758463541666,dino+siglip2+openclip,0.0205078125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.0205078125,hard,2.139634382471342e-06
31,31,1.0,0.0,0,0.25,0.9985758463541666,dino+siglip2+openclip,0.0302734375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.0302734375,hard,3.6244393293677273e-06
42,41,0.9761904761904762,0.023809523809523808,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.041015625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.0400390625,hard,8.624321021405297e-06
52,51,0.9807692307692307,0.019230769230769232,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.05078125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.0498046875,hard,1.1978563088010069e-05
62,61,0.9838709677419355,0.016129032258064516,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.060546875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.0595703125,hard,1.811085958043642e-05
72,71,0.9861111111111112,0.013888888888888888,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.0703125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.0693359375,hard,2.878252740814211e-05
82,81,0.9878048780487805,0.012195121951219513,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.080078125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.0791015625,hard,3.841039719240741e-05
93,92,0.989247311827957,0.010752688172043012,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.0908203125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.08984375,hard,4.3249569971155165e-05
103,102,0.9902912621359223,0.009708737864077669,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.1005859375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.099609375,hard,6.116321554293698e-05
113,112,0.9911504424778761,0.008849557522123894,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.1103515625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.109375,hard,7.622271152640877e-05
123,122,0.991869918699187,0.008130081300813009,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.1201171875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.119140625,hard,0.00010045654500659
133,132,0.9924812030075187,0.007518796992481203,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.1298828125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.12890625,hard,0.0001152122613866837
144,143,0.9930555555555556,0.006944444444444444,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.140625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.1396484375,hard,0.00014770171990621982
154,153,0.9935064935064936,0.006493506493506494,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.150390625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.1494140625,hard,0.00018297037355454295
164,163,0.9939024390243902,0.006097560975609756,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.16015625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.1591796875,hard,0.00022855911401007095
175,174,0.9942857142857143,0.005714285714285714,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.1708984375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.169921875,hard,0.00027220763254060123
185,184,0.9945945945945946,0.005405405405405406,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.1806640625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.1796875,hard,0.00038842206264804536
195,194,0.9948717948717949,0.005128205128205128,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.1904296875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.189453125,hard,0.0005891366694713754
205,204,0.9951219512195122,0.004878048780487805,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.2001953125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.19921875,hard,0.000867464476869702
216,215,0.9953703703703703,0.004629629629629629,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.2109375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.2099609375,hard,0.0011475621392002002
226,225,0.995575221238938,0.004424778761061947,1,0.25,0.9985758463541666,dino+siglip2+openclip,0.220703125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.2197265625,hard,0.0015180624667295026
237,235,0.9915611814345991,0.008438818565400843,2,0.25,0.9985758463541666,dino+siglip2+openclip,0.2314453125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.2294921875,hard,0.0025528014219630703
246,244,0.991869918699187,0.008130081300813009,2,0.25,0.9985758463541666,dino+siglip2+openclip,0.240234375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.23828125,hard,0.005350157125870589
256,251,0.98046875,0.01953125,5,0.25,0.9985758463541666,dino+siglip2+openclip,0.25,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.2451171875,hard,0.07110831660672046
266,256,0.9624060150375939,0.03759398496240601,10,0.25,0.9985758463541666,dino+siglip2+openclip,0.259765625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.25,hard,0.36214910042251974
277,256,0.924187725631769,0.07581227436823104,21,0.25,0.9985758463541666,dino+siglip2+openclip,0.2705078125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.25,hard,0.8883798323535731
287,256,0.89198606271777,0.10801393728222997,31,0.25,0.9985758463541666,dino+siglip2+openclip,0.2802734375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.25,hard,0.9396434289406533
297,256,0.8619528619528619,0.13804713804713806,41,0.25,0.9985758463541666,dino+siglip2+openclip,0.2900390625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.25,hard,0.9775041705132866
307,256,0.8338762214983714,0.16612377850162866,51,0.25,0.9985758463541666,dino+siglip2+openclip,0.2998046875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.25,hard,0.9884376405055975
318,256,0.8050314465408805,0.1949685534591195,62,0.25,0.9985758463541666,dino+siglip2+openclip,0.310546875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.25,hard,0.9935377418977684
328,256,0.7804878048780488,0.21951219512195122,72,0.25,0.9985758463541666,dino+siglip2+openclip,0.3203125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.25,hard,0.9965287042765745
338,256,0.757396449704142,0.24260355029585798,82,0.25,0.9985758463541666,dino+siglip2+openclip,0.330078125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.25,hard,0.9973139012228707
348,256,0.735632183908046,0.26436781609195403,92,0.25,0.9985758463541666,dino+siglip2+openclip,0.33984375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,0,0.25,hard,0.9982164185477512
