accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,target_openout,threshold
378,378,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.590625,learned_selective_risk+semantic_harq_refine_no_fallback,0.0,1.0,opensemcom,0.25,0,0.590625,mild,openout<=0.01,0.0767150357083249
378,378,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.590625,learned_selective_risk+semantic_harq_refine_no_fallback,0.0,1.0,opensemcom,0.25,0,0.590625,mild,openout<=0.02,0.0767150357083249
387,384,0.9922480620155039,0.007751937984496124,3,0.6,1.0,dino+siglip2+openclip,0.6046875,learned_selective_risk+semantic_harq_refine_no_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,openout<=0.05,0.867168423951975
392,384,0.9795918367346939,0.02040816326530612,8,0.6,1.0,dino+siglip2+openclip,0.6125,learned_selective_risk+semantic_harq_refine_no_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,openout<=0.10,0.9822707578822192
358,358,1.0,0.0,0,0.6,0.9999186197916666,dino+siglip2+openclip,0.559375,learned_risk_head_only_no_fallback,0.0,1.0,opensemcom_risk_head,0.25,0,0.559375,mild,openout<=0.01,9.555963231832723e-05
380,379,0.9973684210526316,0.002631578947368421,1,0.6,0.9999186197916666,dino+siglip2+openclip,0.59375,learned_risk_head_only_no_fallback,0.0,1.0,opensemcom_risk_head,0.25,0,0.5921875,mild,openout<=0.02,0.0024960606824606657
390,384,0.9846153846153847,0.015384615384615385,6,0.6,0.9999186197916666,dino+siglip2+openclip,0.609375,learned_risk_head_only_no_fallback,0.0,1.0,opensemcom_risk_head,0.25,0,0.6,mild,openout<=0.05,0.7828163594007548
399,384,0.9624060150375939,0.03759398496240601,15,0.6,0.9999186197916666,dino+siglip2+openclip,0.6234375,learned_risk_head_only_no_fallback,0.0,1.0,opensemcom_risk_head,0.25,0,0.6,mild,openout<=0.10,0.9985950648784637
378,378,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.590625,mixed_open_calibration_no_fallback,0.0,1.0,opensemcom_calibrated,0.25,0,0.590625,mild,openout<=0.01,0.0767150357083249
378,378,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.590625,mixed_open_calibration_no_fallback,0.0,1.0,opensemcom_calibrated,0.25,0,0.590625,mild,openout<=0.02,0.0767150357083249
387,384,0.9922480620155039,0.007751937984496124,3,0.6,1.0,dino+siglip2+openclip,0.6046875,mixed_open_calibration_no_fallback,0.0,1.0,opensemcom_calibrated,0.25,0,0.6,mild,openout<=0.05,0.867168423951975
392,384,0.9795918367346939,0.02040816326530612,8,0.6,1.0,dino+siglip2+openclip,0.6125,mixed_open_calibration_no_fallback,0.0,1.0,opensemcom_calibrated,0.25,0,0.6,mild,openout<=0.10,0.9822707578822192
