accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
1,1,1.0,0.0,0,0.7265625,0.98974609375,dino+siglip2+openclip,0.00390625,learned_selective_risk+confirmed_fallback,0.015625,0.96875,opensemcom,0.25,0,0.00390625,mild,2.3077761807385162e-05
13,13,1.0,0.0,0,0.7265625,0.98974609375,dino+siglip2+openclip,0.05078125,learned_selective_risk+confirmed_fallback,0.015625,0.96875,opensemcom,0.25,0,0.05078125,mild,9.513103081416893e-05
26,26,1.0,0.0,0,0.7265625,0.98974609375,dino+siglip2+openclip,0.1015625,learned_selective_risk+confirmed_fallback,0.015625,0.96875,opensemcom,0.25,0,0.1015625,mild,0.00016692423415164175
39,38,0.9743589743589743,0.02564102564102564,1,0.7265625,0.98974609375,dino+siglip2+openclip,0.15234375,learned_selective_risk+confirmed_fallback,0.015625,0.96875,opensemcom,0.25,0,0.1484375,mild,0.0002440611390658
52,51,0.9807692307692307,0.019230769230769232,1,0.7265625,0.98974609375,dino+siglip2+openclip,0.203125,learned_selective_risk+confirmed_fallback,0.015625,0.96875,opensemcom,0.25,0,0.19921875,mild,0.00034241209210630083
64,63,0.984375,0.015625,1,0.7265625,0.98974609375,dino+siglip2+openclip,0.25,learned_selective_risk+confirmed_fallback,0.015625,0.96875,opensemcom,0.25,0,0.24609375,mild,0.0007109111770657759
77,76,0.987012987012987,0.012987012987012988,1,0.7265625,0.98974609375,dino+siglip2+openclip,0.30078125,learned_selective_risk+confirmed_fallback,0.015625,0.96875,opensemcom,0.25,0,0.296875,mild,0.0009541166313177188
90,89,0.9888888888888889,0.011111111111111112,1,0.7265625,0.98974609375,dino+siglip2+openclip,0.3515625,learned_selective_risk+confirmed_fallback,0.015625,0.96875,opensemcom,0.25,0,0.34765625,mild,0.0013072705878722484
103,102,0.9902912621359223,0.009708737864077669,1,0.7265625,0.98974609375,dino+siglip2+openclip,0.40234375,learned_selective_risk+confirmed_fallback,0.015625,0.96875,opensemcom,0.25,0,0.3984375,mild,0.0022385050451638215
115,114,0.991304347826087,0.008695652173913044,1,0.7265625,0.98974609375,dino+siglip2+openclip,0.44921875,learned_selective_risk+confirmed_fallback,0.015625,0.96875,opensemcom,0.25,0,0.4453125,mild,0.003109816520390279
