accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
1,1,1.0,0.0,0,0.7109375,0.9944661458333334,dino+siglip2+openclip,0.00390625,learned_selective_risk+confirmed_fallback,0.010416666666666666,0.9479166666666666,opensemcom,0.25,0,0.00390625,mild,6.2700929952261015e-06
13,13,1.0,0.0,0,0.7109375,0.9944661458333334,dino+siglip2+openclip,0.05078125,learned_selective_risk+confirmed_fallback,0.010416666666666666,0.9479166666666666,opensemcom,0.25,0,0.05078125,mild,0.00014184739973171096
26,26,1.0,0.0,0,0.7109375,0.9944661458333334,dino+siglip2+openclip,0.1015625,learned_selective_risk+confirmed_fallback,0.010416666666666666,0.9479166666666666,opensemcom,0.25,0,0.1015625,mild,0.00022354156938036274
39,39,1.0,0.0,0,0.7109375,0.9944661458333334,dino+siglip2+openclip,0.15234375,learned_selective_risk+confirmed_fallback,0.010416666666666666,0.9479166666666666,opensemcom,0.25,0,0.15234375,mild,0.0004415053590372718
52,52,1.0,0.0,0,0.7109375,0.9944661458333334,dino+siglip2+openclip,0.203125,learned_selective_risk+confirmed_fallback,0.010416666666666666,0.9479166666666666,opensemcom,0.25,0,0.203125,mild,0.0006201139651332653
64,64,1.0,0.0,0,0.7109375,0.9944661458333334,dino+siglip2+openclip,0.25,learned_selective_risk+confirmed_fallback,0.010416666666666666,0.9479166666666666,opensemcom,0.25,0,0.25,mild,0.0009481770691072305
77,76,0.987012987012987,0.012987012987012988,1,0.7109375,0.9944661458333334,dino+siglip2+openclip,0.30078125,learned_selective_risk+confirmed_fallback,0.010416666666666666,0.9479166666666666,opensemcom,0.25,0,0.296875,mild,0.0013330811914130168
90,88,0.9777777777777777,0.022222222222222223,2,0.7109375,0.9944661458333334,dino+siglip2+openclip,0.3515625,learned_selective_risk+confirmed_fallback,0.010416666666666666,0.9479166666666666,opensemcom,0.25,0,0.34375,mild,0.001592179091015739
103,101,0.9805825242718447,0.019417475728155338,2,0.7109375,0.9944661458333334,dino+siglip2+openclip,0.40234375,learned_selective_risk+confirmed_fallback,0.010416666666666666,0.9479166666666666,opensemcom,0.25,0,0.39453125,mild,0.0019485337557992707
115,113,0.9826086956521739,0.017391304347826087,2,0.7109375,0.9944661458333334,dino+siglip2+openclip,0.44921875,learned_selective_risk+confirmed_fallback,0.010416666666666666,0.9479166666666666,opensemcom,0.25,0,0.44140625,mild,0.003020263123183415
