accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,target_openout,threshold
176,167,0.9488636363636364,0.05113636363636364,9,0.7109375,0.9944661458333334,dino+siglip2+openclip,0.6875,learned_selective_risk+confirmed_fallback,0.010416666666666666,0.9479166666666666,opensemcom,0.25,0,0.65234375,mild,openout<=0.05,0.08548418385147388
192,181,0.9427083333333334,0.057291666666666664,11,0.7109375,0.9944661458333334,dino+siglip2+openclip,0.75,learned_selective_risk+confirmed_fallback,0.010416666666666666,0.9479166666666666,opensemcom,0.25,0,0.70703125,mild,openout<=0.10,0.3261330649159986
149,148,0.9932885906040269,0.006711409395973154,1,0.72265625,0.958740234375,DINOv3,0.58203125,msp,0.125,0.9635416666666666,dino_msp,0.25,0,0.578125,mild,openout<=0.05,0.054770081304459005
184,175,0.9510869565217391,0.04891304347826087,9,0.72265625,0.958740234375,DINOv3,0.71875,msp,0.125,0.9635416666666666,dino_msp,0.25,0,0.68359375,mild,openout<=0.10,0.19339232420603228
149,148,0.9932885906040269,0.006711409395973154,1,0.72265625,0.9746907552083334,DINOv3,0.58203125,energy,0.11979166666666667,0.9635416666666666,dino_energy,0.25,0,0.578125,mild,openout<=0.05,-4.3727565753865765
178,170,0.9550561797752809,0.0449438202247191,8,0.72265625,0.9746907552083334,DINOv3,0.6953125,energy,0.11979166666666667,0.9635416666666666,dino_energy,0.25,0,0.6640625,mild,openout<=0.10,-3.450869109811686
42,42,1.0,0.0,0,0.72265625,0.95361328125,DINOv3,0.1640625,mahalanobis,0.328125,0.9635416666666666,dino_mahalanobis,0.25,0,0.1640625,mild,openout<=0.05,0.47248311796534
78,77,0.9871794871794872,0.01282051282051282,1,0.72265625,0.95361328125,DINOv3,0.3046875,mahalanobis,0.328125,0.9635416666666666,dino_mahalanobis,0.25,0,0.30078125,mild,openout<=0.10,0.5887411747422976
39,39,1.0,0.0,0,0.72265625,0.9519856770833334,DINOv3,0.15234375,vim,0.328125,0.9635416666666666,dino_vim,0.25,0,0.15234375,mild,openout<=0.05,0.5358965754508972
64,63,0.984375,0.015625,1,0.72265625,0.9519856770833334,DINOv3,0.25,vim,0.328125,0.9635416666666666,dino_vim,0.25,0,0.24609375,mild,openout<=0.10,0.6257107204198837
154,153,0.9935064935064936,0.006493506493506494,1,0.72265625,0.97705078125,DINOv3,0.6015625,react_energy,0.11458333333333333,0.9635416666666666,dino_react_energy,0.25,0,0.59765625,mild,openout<=0.05,-3.7168135764563366
177,170,0.96045197740113,0.03954802259887006,7,0.72265625,0.97705078125,DINOv3,0.69140625,react_energy,0.11458333333333333,0.9635416666666666,dino_react_energy,0.25,0,0.6640625,mild,openout<=0.10,-3.1274200751160337
131,130,0.9923664122137404,0.007633587786259542,1,0.7265625,0.968505859375,DINOv3,0.51171875,ash_energy,0.15104166666666666,0.96875,dino_ash_energy,0.25,0,0.5078125,mild,openout<=0.05,-6.971665060564916
183,175,0.9562841530054644,0.04371584699453552,8,0.7265625,0.968505859375,DINOv3,0.71484375,ash_energy,0.15104166666666666,0.96875,dino_ash_energy,0.25,0,0.68359375,mild,openout<=0.10,-4.526578258426667
176,167,0.9488636363636364,0.05113636363636364,9,0.72265625,0.9827473958333334,DINOv3,0.6875,one_vs_rest,0.109375,0.9635416666666666,dino_one_vs_rest,0.25,0,0.65234375,mild,openout<=0.05,0.14766107367936823
192,179,0.9322916666666666,0.06770833333333333,13,0.72265625,0.9827473958333334,DINOv3,0.75,one_vs_rest,0.109375,0.9635416666666666,dino_one_vs_rest,0.25,0,0.69921875,mild,openout<=0.10,0.526930629355123
41,41,1.0,0.0,0,0.734375,0.9484049479166666,DINOv3,0.16015625,deepjscc,0.3489583333333333,0.9791666666666666,deepjscc_style,0.25,0,0.16015625,mild,openout<=0.05,0.29016836881637575
84,83,0.9880952380952381,0.011904761904761904,1,0.734375,0.9484049479166666,DINOv3,0.328125,deepjscc,0.3489583333333333,0.9791666666666666,deepjscc_style,0.25,0,0.32421875,mild,openout<=0.10,0.4290944680571556
190,183,0.9631578947368421,0.03684210526315789,7,0.72265625,0.995361328125,SigLIP2,0.7421875,best_ood:one_vs_rest,0.010416666666666666,0.9635416666666666,siglip2_best_ood,0.25,0,0.71484375,mild,openout<=0.05,0.3597929736968335
193,184,0.9533678756476683,0.046632124352331605,9,0.72265625,0.995361328125,SigLIP2,0.75390625,best_ood:one_vs_rest,0.010416666666666666,0.9635416666666666,siglip2_best_ood,0.25,0,0.71875,mild,openout<=0.10,0.5495719889296827
196,189,0.9642857142857143,0.03571428571428571,7,0.73828125,0.9979654947916666,OpenCLIP-DFN5B,0.765625,best_ood:one_vs_rest,0.020833333333333332,0.984375,openclip_best_ood,0.25,0,0.73828125,mild,openout<=0.05,0.5104748059717047
196,189,0.9642857142857143,0.03571428571428571,7,0.73828125,0.9979654947916666,OpenCLIP-DFN5B,0.765625,best_ood:one_vs_rest,0.020833333333333332,0.984375,openclip_best_ood,0.25,0,0.73828125,mild,openout<=0.10,0.694718003876819
26,20,0.7692307692307693,0.23076923076923078,6,0.0859375,0.9899234931890278,dino+siglip2+openclip,0.1015625,learned_selective_risk+confirmed_fallback,0.043478260869565216,0.9565217391304348,opensemcom,0.91,0,0.078125,extreme,openout<=0.05,0.08548418385147388
34,22,0.6470588235294118,0.35294117647058826,12,0.0859375,0.9899234931890278,dino+siglip2+openclip,0.1328125,learned_selective_risk+confirmed_fallback,0.043478260869565216,0.9565217391304348,opensemcom,0.91,0,0.0859375,extreme,openout<=0.10,0.3261330649159986
25,19,0.76,0.24,6,0.0859375,0.9505504758350438,DINOv3,0.09765625,msp,0.043478260869565216,0.9565217391304348,dino_msp,0.91,0,0.07421875,extreme,openout<=0.05,0.054770081304459005
44,22,0.5,0.5,22,0.0859375,0.9505504758350438,DINOv3,0.171875,msp,0.043478260869565216,0.9565217391304348,dino_msp,0.91,0,0.0859375,extreme,openout<=0.10,0.19339232420603228
23,18,0.782608695652174,0.21739130434782608,5,0.0859375,0.9477514461653294,DINOv3,0.08984375,energy,0.08695652173913043,0.9565217391304348,dino_energy,0.91,0,0.0703125,extreme,openout<=0.05,-4.3727565753865765
34,21,0.6176470588235294,0.38235294117647056,13,0.0859375,0.9477514461653294,DINOv3,0.1328125,energy,0.08695652173913043,0.9565217391304348,dino_energy,0.91,0,0.08203125,extreme,openout<=0.10,-3.450869109811686
150,22,0.14666666666666667,0.8533333333333334,128,0.0859375,0.9371151334204143,DINOv3,0.5859375,mahalanobis,0.2608695652173913,0.9565217391304348,dino_mahalanobis,0.91,0,0.0859375,extreme,openout<=0.05,0.47248311796534
204,22,0.10784313725490197,0.8921568627450981,182,0.0859375,0.9371151334204143,DINOv3,0.796875,mahalanobis,0.2608695652173913,0.9565217391304348,dino_mahalanobis,0.91,0,0.0859375,extreme,openout<=0.10,0.5887411747422976
184,22,0.11956521739130435,0.8804347826086957,162,0.0859375,0.9354357156185855,DINOv3,0.71875,vim,0.2608695652173913,0.9565217391304348,dino_vim,0.91,0,0.0859375,extreme,openout<=0.05,0.5358965754508972
207,22,0.10628019323671498,0.893719806763285,185,0.0859375,0.9354357156185855,DINOv3,0.80859375,vim,0.2608695652173913,0.9565217391304348,dino_vim,0.91,0,0.0859375,extreme,openout<=0.10,0.6257107204198837
23,18,0.782608695652174,0.21739130434782608,5,0.0859375,0.9473782422093674,DINOv3,0.08984375,react_energy,0.08695652173913043,0.9565217391304348,dino_react_energy,0.91,0,0.0703125,extreme,openout<=0.05,-3.7168135764563366
36,21,0.5833333333333334,0.4166666666666667,15,0.0859375,0.9473782422093674,DINOv3,0.140625,react_energy,0.08695652173913043,0.9565217391304348,dino_react_energy,0.91,0,0.08203125,extreme,openout<=0.10,-3.1274200751160337
20,17,0.85,0.15,3,0.0859375,0.9428997947378243,DINOv3,0.078125,ash_energy,0.08695652173913043,0.9565217391304348,dino_ash_energy,0.91,0,0.06640625,extreme,openout<=0.05,-6.971665060564916
42,21,0.5,0.5,21,0.0859375,0.9428997947378243,DINOv3,0.1640625,ash_energy,0.08695652173913043,0.9565217391304348,dino_ash_energy,0.91,0,0.08203125,extreme,openout<=0.10,-4.526578258426667
30,21,0.7,0.3,9,0.0859375,0.9873110654972943,DINOv3,0.1171875,one_vs_rest,0.08695652173913043,0.9565217391304348,dino_one_vs_rest,0.91,0,0.08203125,extreme,openout<=0.05,0.14766107367936823
44,22,0.5,0.5,22,0.0859375,0.9873110654972943,DINOv3,0.171875,one_vs_rest,0.08695652173913043,0.9565217391304348,dino_one_vs_rest,0.91,0,0.0859375,extreme,openout<=0.10,0.526930629355123
86,21,0.2441860465116279,0.7558139534883721,65,0.0859375,0.9404739690240717,DINOv3,0.3359375,deepjscc,0.2608695652173913,0.9565217391304348,deepjscc_style,0.91,0,0.08203125,extreme,openout<=0.05,0.29016836881637575
158,22,0.13924050632911392,0.8607594936708861,136,0.0859375,0.9404739690240717,DINOv3,0.6171875,deepjscc,0.2608695652173913,0.9565217391304348,deepjscc_style,0.91,0,0.0859375,extreme,openout<=0.10,0.4290944680571556
33,20,0.6060606060606061,0.3939393939393939,13,0.08203125,0.9841388318716179,SigLIP2,0.12890625,best_ood:one_vs_rest,0.08695652173913043,0.9130434782608695,siglip2_best_ood,0.91,0,0.078125,extreme,openout<=0.05,0.3597929736968335
39,21,0.5384615384615384,0.46153846153846156,18,0.08203125,0.9841388318716179,SigLIP2,0.15234375,best_ood:one_vs_rest,0.08695652173913043,0.9130434782608695,siglip2_best_ood,0.91,0,0.08203125,extreme,openout<=0.10,0.5495719889296827
37,23,0.6216216216216216,0.3783783783783784,14,0.08984375,0.9966411643963426,OpenCLIP-DFN5B,0.14453125,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,0.91,0,0.08984375,extreme,openout<=0.05,0.5104748059717047
41,23,0.5609756097560976,0.43902439024390244,18,0.08984375,0.9966411643963426,OpenCLIP-DFN5B,0.16015625,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,0.91,0,0.08984375,extreme,openout<=0.10,0.694718003876819
