accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
2,2,1.0,0.0,0,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.0078125,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.0078125,mild,1.902793699657383e-05
13,13,1.0,0.0,0,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.05078125,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.05078125,mild,7.447119646593065e-05
26,26,1.0,0.0,0,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.1015625,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.1015625,mild,0.00014549045373071486
39,38,0.9743589743589743,0.02564102564102564,1,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.15234375,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.1484375,mild,0.00020916582273331112
52,51,0.9807692307692307,0.019230769230769232,1,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.203125,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.19921875,mild,0.00033774200709637886
64,63,0.984375,0.015625,1,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.25,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.24609375,mild,0.0005129142616500659
77,76,0.987012987012987,0.012987012987012988,1,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.30078125,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.296875,mild,0.0008104073922361944
90,88,0.9777777777777777,0.022222222222222223,2,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.3515625,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.34375,mild,0.0017669907168601812
103,101,0.9805825242718447,0.019417475728155338,2,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.40234375,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.39453125,mild,0.002694008623083521
115,113,0.9826086956521739,0.017391304347826087,2,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.44921875,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.44140625,mild,0.0035420321871946466
128,125,0.9765625,0.0234375,3,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.5,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.48828125,mild,0.006309404815146153
141,138,0.9787234042553191,0.02127659574468085,3,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.55078125,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.5390625,mild,0.011809153151480616
155,150,0.967741935483871,0.03225806451612903,5,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.60546875,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.5859375,mild,0.024075046406606113
166,161,0.9698795180722891,0.030120481927710843,5,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.6484375,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.62890625,mild,0.05501661001607785
179,171,0.9553072625698324,0.0446927374301676,8,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.69921875,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.66796875,mild,0.13260335711820873
192,182,0.9479166666666666,0.052083333333333336,10,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.75,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.7109375,mild,0.39089804371700193
205,185,0.9024390243902439,0.0975609756097561,20,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.80078125,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.72265625,mild,0.9346023899630169
217,185,0.8525345622119815,0.14746543778801843,32,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.84765625,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.72265625,mild,0.9919836831927662
230,185,0.8043478260869565,0.1956521739130435,45,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.8984375,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.72265625,mild,0.9980554010613569
243,185,0.7613168724279835,0.23868312757201646,58,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.94921875,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.72265625,mild,0.9993218504487295
256,185,0.72265625,0.27734375,71,0.72265625,0.9828287760416666,dino+siglip2+openclip,1.0,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.72265625,mild,0.9999994760437371
1,1,1.0,0.0,0,0.72265625,0.9530436197916666,DINOv3,0.00390625,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.00390625,mild,4.572330017760251e-05
13,13,1.0,0.0,0,0.72265625,0.9530436197916666,DINOv3,0.05078125,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.05078125,mild,0.0007796409138467186
26,26,1.0,0.0,0,0.72265625,0.9530436197916666,DINOv3,0.1015625,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.1015625,mild,0.0012612347025039439
39,39,1.0,0.0,0,0.72265625,0.9530436197916666,DINOv3,0.15234375,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.15234375,mild,0.001771554806089204
52,52,1.0,0.0,0,0.72265625,0.9530436197916666,DINOv3,0.203125,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.203125,mild,0.0022532185753157963
64,64,1.0,0.0,0,0.72265625,0.9530436197916666,DINOv3,0.25,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.25,mild,0.002949349382732641
77,77,1.0,0.0,0,0.72265625,0.9530436197916666,DINOv3,0.30078125,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.30078125,mild,0.003741849791988106
90,90,1.0,0.0,0,0.72265625,0.9530436197916666,DINOv3,0.3515625,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.3515625,mild,0.005090445525314599
103,103,1.0,0.0,0,0.72265625,0.9530436197916666,DINOv3,0.40234375,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.40234375,mild,0.008147477612447829
115,115,1.0,0.0,0,0.72265625,0.9530436197916666,DINOv3,0.44921875,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.44921875,mild,0.013367972477758533
128,126,0.984375,0.015625,2,0.72265625,0.9530436197916666,DINOv3,0.5,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.4921875,mild,0.021436934446463385
142,139,0.9788732394366197,0.02112676056338028,3,0.72265625,0.9530436197916666,DINOv3,0.5546875,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.54296875,mild,0.035083638451161026
154,149,0.9675324675324676,0.032467532467532464,5,0.72265625,0.9530436197916666,DINOv3,0.6015625,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.58203125,mild,0.05968871507933528
166,160,0.963855421686747,0.03614457831325301,6,0.72265625,0.9530436197916666,DINOv3,0.6484375,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.625,mild,0.09483896774271497
179,171,0.9553072625698324,0.0446927374301676,8,0.72265625,0.9530436197916666,DINOv3,0.69921875,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.66796875,mild,0.137085395873134
192,178,0.9270833333333334,0.07291666666666667,14,0.72265625,0.9530436197916666,DINOv3,0.75,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.6953125,mild,0.2877669033834921
205,182,0.8878048780487805,0.11219512195121951,23,0.72265625,0.9530436197916666,DINOv3,0.80078125,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.7109375,mild,0.41783556549952927
217,184,0.847926267281106,0.15207373271889402,33,0.72265625,0.9530436197916666,DINOv3,0.84765625,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.71875,mild,0.48604042801785846
230,185,0.8043478260869565,0.1956521739130435,45,0.72265625,0.9530436197916666,DINOv3,0.8984375,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.72265625,mild,0.5942555347745353
243,185,0.7613168724279835,0.23868312757201646,58,0.72265625,0.9530436197916666,DINOv3,0.94921875,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.72265625,mild,0.6463963667527479
256,185,0.72265625,0.27734375,71,0.72265625,0.9530436197916666,DINOv3,1.0,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.72265625,mild,0.7425132098120907
1,1,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.00390625,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.00390625,mild,-9.78682487331132
13,13,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.05078125,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.05078125,mild,-7.576337306468171
26,26,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.1015625,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.1015625,mild,-7.1544223729806085
39,39,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.15234375,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.15234375,mild,-6.883470792842926
52,52,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.203125,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.203125,mild,-6.63647146830922
64,64,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.25,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.25,mild,-6.473386607946701
77,77,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.30078125,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.30078125,mild,-6.195269015965965
90,90,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.3515625,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.3515625,mild,-6.037044234381291
103,103,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.40234375,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.40234375,mild,-5.6501231823759905
115,115,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.44921875,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.44921875,mild,-5.293640454437016
128,127,0.9921875,0.0078125,1,0.72265625,0.9620768229166666,DINOv3,0.5,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.49609375,mild,-4.948533239156094
141,138,0.9787234042553191,0.02127659574468085,3,0.72265625,0.9620768229166666,DINOv3,0.55078125,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.5390625,mild,-4.543018876711658
154,149,0.9675324675324676,0.032467532467532464,5,0.72265625,0.9620768229166666,DINOv3,0.6015625,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.58203125,mild,-4.227412118293539
166,160,0.963855421686747,0.03614457831325301,6,0.72265625,0.9620768229166666,DINOv3,0.6484375,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.625,mild,-3.8533652604082445
179,169,0.9441340782122905,0.055865921787709494,10,0.72265625,0.9620768229166666,DINOv3,0.69921875,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.66015625,mild,-3.5054359935832164
192,178,0.9270833333333334,0.07291666666666667,14,0.72265625,0.9620768229166666,DINOv3,0.75,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.6953125,mild,-3.1894073305979376
205,183,0.8926829268292683,0.1073170731707317,22,0.72265625,0.9620768229166666,DINOv3,0.80078125,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.71484375,mild,-2.6288567859290923
217,184,0.847926267281106,0.15207373271889402,33,0.72265625,0.9620768229166666,DINOv3,0.84765625,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.71875,mild,-2.31775873563
230,185,0.8043478260869565,0.1956521739130435,45,0.72265625,0.9620768229166666,DINOv3,0.8984375,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.72265625,mild,-2.159794538779746
243,185,0.7613168724279835,0.23868312757201646,58,0.72265625,0.9620768229166666,DINOv3,0.94921875,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.72265625,mild,-2.0291297724416606
256,185,0.72265625,0.27734375,71,0.72265625,0.9620768229166666,DINOv3,1.0,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.72265625,mild,-1.8626909107456342
13,13,1.0,0.0,0,0.72265625,0.9478352864583334,DINOv3,0.05078125,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.05078125,mild,0.0
13,13,1.0,0.0,0,0.72265625,0.9478352864583334,DINOv3,0.05078125,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.05078125,mild,0.00039268697449083926
26,26,1.0,0.0,0,0.72265625,0.9478352864583334,DINOv3,0.1015625,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.1015625,mild,0.012176893114158944
39,39,1.0,0.0,0,0.72265625,0.9478352864583334,DINOv3,0.15234375,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.15234375,mild,0.428497346897919
52,52,1.0,0.0,0,0.72265625,0.9478352864583334,DINOv3,0.203125,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.203125,mild,0.5164047387350572
64,64,1.0,0.0,0,0.72265625,0.9478352864583334,DINOv3,0.25,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.25,mild,0.5545463522293693
77,77,1.0,0.0,0,0.72265625,0.9478352864583334,DINOv3,0.30078125,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.30078125,mild,0.5792643764952049
