accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,target_openout,threshold
172,165,0.9593023255813954,0.040697674418604654,7,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.671875,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.64453125,mild,openout<=0.05,0.06986026231827362
197,185,0.9390862944162437,0.06091370558375635,12,0.72265625,0.9828287760416666,dino+siglip2+openclip,0.76953125,learned_selective_risk+confirmed_fallback,0.015625,0.9635416666666666,opensemcom,0.25,0,0.72265625,mild,openout<=0.10,0.749788845633262
133,131,0.9849624060150376,0.015037593984962405,2,0.72265625,0.9530436197916666,DINOv3,0.51953125,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.51171875,mild,openout<=0.05,0.025994900057536796
184,174,0.9456521739130435,0.05434782608695652,10,0.72265625,0.9530436197916666,DINOv3,0.71875,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.6796875,mild,openout<=0.10,0.18658225871800804
151,148,0.9801324503311258,0.019867549668874173,3,0.72265625,0.9620768229166666,DINOv3,0.58984375,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.578125,mild,openout<=0.05,-4.353967860724005
168,162,0.9642857142857143,0.03571428571428571,6,0.72265625,0.9620768229166666,DINOv3,0.65625,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.6328125,mild,openout<=0.10,-3.842022632785336
78,78,1.0,0.0,0,0.72265625,0.9478352864583334,DINOv3,0.3046875,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.3046875,mild,openout<=0.05,0.583302678716167
104,102,0.9807692307692307,0.019230769230769232,2,0.72265625,0.9478352864583334,DINOv3,0.40625,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.3984375,mild,openout<=0.10,0.6178172570526176
82,82,1.0,0.0,0,0.72265625,0.9444986979166666,DINOv3,0.3203125,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.3203125,mild,openout<=0.05,0.6374010264873504
99,98,0.98989898989899,0.010101010101010102,1,0.72265625,0.9444986979166666,DINOv3,0.38671875,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.3828125,mild,openout<=0.10,0.6663561791181565
142,140,0.9859154929577465,0.014084507042253521,2,0.72265625,0.9615885416666666,DINOv3,0.5546875,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.546875,mild,openout<=0.05,-4.10655014724271
171,162,0.9473684210526315,0.05263157894736842,9,0.72265625,0.9615885416666666,DINOv3,0.66796875,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.6328125,mild,openout<=0.10,-3.427607692873458
134,133,0.9925373134328358,0.007462686567164179,1,0.7265625,0.9645182291666666,DINOv3,0.5234375,ash_energy,0.18229166666666666,0.96875,dino_ash_energy,0.25,0,0.51953125,mild,openout<=0.05,-6.706926091895595
179,170,0.9497206703910615,0.05027932960893855,9,0.7265625,0.9645182291666666,DINOv3,0.69921875,ash_energy,0.18229166666666666,0.96875,dino_ash_energy,0.25,0,0.6640625,mild,openout<=0.10,-4.806304889145001
186,177,0.9516129032258065,0.04838709677419355,9,0.72265625,0.984375,DINOv3,0.7265625,one_vs_rest,0.057291666666666664,0.9635416666666666,dino_one_vs_rest,0.25,0,0.69140625,mild,openout<=0.05,0.3672740015268961
199,181,0.9095477386934674,0.09045226130653267,18,0.72265625,0.984375,DINOv3,0.77734375,one_vs_rest,0.057291666666666664,0.9635416666666666,dino_one_vs_rest,0.25,0,0.70703125,mild,openout<=0.10,0.752572709144081
80,80,1.0,0.0,0,0.7265625,0.9471842447916666,DINOv3,0.3125,deepjscc,0.2760416666666667,0.96875,deepjscc_style,0.25,0,0.3125,mild,openout<=0.05,0.41286583483219147
91,90,0.989010989010989,0.01098901098901099,1,0.7265625,0.9471842447916666,DINOv3,0.35546875,deepjscc,0.2760416666666667,0.96875,deepjscc_style,0.25,0,0.3515625,mild,openout<=0.10,0.4411166563630104
