accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,target_openout,threshold
185,177,0.9567567567567568,0.043243243243243246,8,0.7265625,0.98974609375,dino+siglip2+openclip,0.72265625,learned_selective_risk+confirmed_fallback,0.015625,0.96875,opensemcom,0.25,0,0.69140625,mild,openout<=0.05,0.20097086291151744
198,185,0.9343434343434344,0.06565656565656566,13,0.7265625,0.98974609375,dino+siglip2+openclip,0.7734375,learned_selective_risk+confirmed_fallback,0.015625,0.96875,opensemcom,0.25,0,0.72265625,mild,openout<=0.10,0.725450889982162
165,159,0.9636363636363636,0.03636363636363636,6,0.71484375,0.9514973958333334,DINOv3,0.64453125,msp,0.20833333333333334,0.953125,dino_msp,0.25,0,0.62109375,mild,openout<=0.05,0.09527400400955742
174,166,0.9540229885057471,0.04597701149425287,8,0.71484375,0.9514973958333334,DINOv3,0.6796875,msp,0.20833333333333334,0.953125,dino_msp,0.25,0,0.6484375,mild,openout<=0.10,0.14224142355055583
163,160,0.9815950920245399,0.018404907975460124,3,0.71484375,0.9654134114583334,DINOv3,0.63671875,energy,0.15625,0.953125,dino_energy,0.25,0,0.625,mild,openout<=0.05,-3.7932569988612577
179,170,0.9497206703910615,0.05027932960893855,9,0.71484375,0.9654134114583334,DINOv3,0.69921875,energy,0.15625,0.953125,dino_energy,0.25,0,0.6640625,mild,openout<=0.10,-3.485711630928427
52,52,1.0,0.0,0,0.71484375,0.9622395833333334,DINOv3,0.203125,mahalanobis,0.171875,0.953125,dino_mahalanobis,0.25,0,0.203125,mild,openout<=0.05,0.21749158285021272
103,98,0.9514563106796117,0.04854368932038835,5,0.71484375,0.9622395833333334,DINOv3,0.40234375,mahalanobis,0.171875,0.953125,dino_mahalanobis,0.25,0,0.3828125,mild,openout<=0.10,0.34064948918179283
42,42,1.0,0.0,0,0.71484375,0.9583333333333334,DINOv3,0.1640625,vim,0.18229166666666666,0.953125,dino_vim,0.25,0,0.1640625,mild,openout<=0.05,0.17995807081460954
117,109,0.9316239316239316,0.06837606837606838,8,0.71484375,0.9583333333333334,DINOv3,0.45703125,vim,0.18229166666666666,0.953125,dino_vim,0.25,0,0.42578125,mild,openout<=0.10,0.3563981807231903
174,165,0.9482758620689655,0.05172413793103448,9,0.7109375,0.9637858072916666,DINOv3,0.6796875,react_energy,0.15625,0.9479166666666666,dino_react_energy,0.25,0,0.64453125,mild,openout<=0.05,-3.2693946071350215
182,170,0.9340659340659341,0.06593406593406594,12,0.7109375,0.9637858072916666,DINOv3,0.7109375,react_energy,0.15625,0.9479166666666666,dino_react_energy,0.25,0,0.6640625,mild,openout<=0.10,-3.116679816194701
159,154,0.9685534591194969,0.031446540880503145,5,0.7109375,0.9652506510416666,DINOv3,0.62109375,ash_energy,0.16666666666666666,0.9479166666666666,dino_ash_energy,0.25,0,0.6015625,mild,openout<=0.05,-5.489473504886013
166,159,0.9578313253012049,0.04216867469879518,7,0.7109375,0.9652506510416666,DINOv3,0.6484375,ash_energy,0.16666666666666666,0.9479166666666666,dino_ash_energy,0.25,0,0.62109375,mild,openout<=0.10,-5.145845446228773
195,178,0.9128205128205128,0.08717948717948718,17,0.71484375,0.9834798177083334,DINOv3,0.76171875,one_vs_rest,0.057291666666666664,0.953125,dino_one_vs_rest,0.25,0,0.6953125,mild,openout<=0.05,0.4243312230988544
200,181,0.905,0.095,19,0.71484375,0.9834798177083334,DINOv3,0.78125,one_vs_rest,0.057291666666666664,0.953125,dino_one_vs_rest,0.25,0,0.70703125,mild,openout<=0.10,0.5773884730056633
48,48,1.0,0.0,0,0.70703125,0.9619954427083334,DINOv3,0.1875,deepjscc,0.15104166666666666,0.9427083333333334,deepjscc_style,0.25,0,0.1875,mild,openout<=0.05,0.18042680501937866
81,79,0.9753086419753086,0.024691358024691357,2,0.70703125,0.9619954427083334,DINOv3,0.31640625,deepjscc,0.15104166666666666,0.9427083333333334,deepjscc_style,0.25,0,0.30859375,mild,openout<=0.10,0.27118662804365157
187,176,0.9411764705882353,0.058823529411764705,11,0.70703125,0.9798177083333334,SigLIP2,0.73046875,best_ood:one_vs_rest,0.13020833333333334,0.9427083333333334,siglip2_best_ood,0.25,0,0.6875,mild,openout<=0.05,0.29196422774120684
201,181,0.900497512437811,0.09950248756218906,20,0.70703125,0.9798177083333334,SigLIP2,0.78515625,best_ood:one_vs_rest,0.13020833333333334,0.9427083333333334,siglip2_best_ood,0.25,0,0.70703125,mild,openout<=0.10,0.7911259767671662
