accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
1,1,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.0015625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.0015625,mild,1.516404100779962e-07
7,7,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.0109375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.0109375,mild,6.26153392366935e-07
13,13,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.0203125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.0203125,mild,1.041198438168433e-06
21,21,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.0328125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.0328125,mild,1.496505597709562e-06
26,26,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.040625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.040625,mild,2.0692572318316803e-06
33,33,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.0515625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.0515625,mild,2.7081655784440914e-06
39,39,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.0609375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.0609375,mild,3.159932692042203e-06
45,45,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.0703125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.0703125,mild,3.774377956237667e-06
52,52,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.08125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.08125,mild,4.853136269920507e-06
58,58,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.090625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.090625,mild,6.149590459188853e-06
65,65,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.1015625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.1015625,mild,8.417485201612108e-06
71,71,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.1109375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.1109375,mild,9.20729167280441e-06
77,77,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.1203125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.1203125,mild,1.1660403465351976e-05
84,84,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.13125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.13125,mild,1.22262605164922e-05
90,90,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.140625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.140625,mild,1.6107165260585937e-05
