accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,target_openout,threshold
387,384,0.9922480620155039,0.007751937984496124,3,0.6,1.0,dino+siglip2+openclip,0.6046875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,openout<=0.05,0.867168423951975
392,384,0.9795918367346939,0.02040816326530612,8,0.6,1.0,dino+siglip2+openclip,0.6125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,openout<=0.10,0.9822707578822192
342,341,0.9970760233918129,0.0029239766081871343,1,0.596875,0.9903157552083334,DINOv3,0.534375,msp,0.0234375,0.9947916666666666,dino_msp,0.25,0,0.5328125,mild,openout<=0.05,0.0034109418332675563
383,374,0.9765013054830287,0.02349869451697128,9,0.596875,0.9903157552083334,DINOv3,0.5984375,msp,0.0234375,0.9947916666666666,dino_msp,0.25,0,0.584375,mild,openout<=0.10,0.015509646771524442
347,344,0.9913544668587896,0.008645533141210375,3,0.596875,0.9932963053385416,DINOv3,0.5421875,energy,0.0078125,0.9947916666666666,dino_energy,0.25,0,0.5375,mild,openout<=0.05,-6.6910088079062655
388,379,0.9768041237113402,0.023195876288659795,9,0.596875,0.9932963053385416,DINOv3,0.60625,energy,0.0078125,0.9947916666666666,dino_energy,0.25,0,0.5921875,mild,openout<=0.10,-5.69174048088461
326,325,0.9969325153374233,0.003067484662576687,1,0.596875,0.9911905924479166,DINOv3,0.509375,mahalanobis,0.0546875,0.9947916666666666,dino_mahalanobis,0.25,0,0.5078125,mild,openout<=0.05,0.38811790994255124
333,332,0.996996996996997,0.003003003003003003,1,0.596875,0.9911905924479166,DINOv3,0.5203125,mahalanobis,0.0546875,0.9947916666666666,dino_mahalanobis,0.25,0,0.51875,mild,openout<=0.10,0.40969570259175386
315,315,1.0,0.0,0,0.596875,0.9924112955729166,DINOv3,0.4921875,vim,0.06510416666666667,0.9947916666666666,dino_vim,0.25,0,0.4921875,mild,openout<=0.05,0.4356355366110802
329,329,1.0,0.0,0,0.596875,0.9924112955729166,DINOv3,0.5140625,vim,0.06510416666666667,0.9947916666666666,dino_vim,0.25,0,0.5140625,mild,openout<=0.10,0.458834707736969
348,346,0.9942528735632183,0.005747126436781609,2,0.596875,0.993499755859375,DINOv3,0.54375,react_energy,0.0078125,0.9947916666666666,dino_react_energy,0.25,0,0.540625,mild,openout<=0.05,-6.0300656246445605
388,378,0.9742268041237113,0.02577319587628866,10,0.596875,0.993499755859375,DINOv3,0.60625,react_energy,0.0078125,0.9947916666666666,dino_react_energy,0.25,0,0.590625,mild,openout<=0.10,-5.059334647737461
305,301,0.9868852459016394,0.013114754098360656,4,0.596875,0.9863484700520834,DINOv3,0.4765625,ash_energy,0.028645833333333332,0.9947916666666666,dino_ash_energy,0.25,0,0.4703125,mild,openout<=0.05,-10.273072868927246
377,368,0.9761273209549072,0.023872679045092837,9,0.596875,0.9863484700520834,DINOv3,0.5890625,ash_energy,0.028645833333333332,0.9947916666666666,dino_ash_energy,0.25,0,0.575,mild,openout<=0.10,-8.187807793284863
