auroc,backbone,detector_control,fpr95,known_subset_accuracy,method,samples,seed,severity
1.0,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine,0.0,1.0,opensemcom,640,0,mild
0.99993896484375,dino+siglip2+openclip,learned_risk_head_only,0.0,1.0,opensemcom_risk_head,640,0,mild
1.0,dino+siglip2+openclip,mixed_open_calibration,0.0,1.0,opensemcom_calibrated,640,0,mild
1.0,dino+siglip2+openclip,semantic_harq_refine,0.0,1.0,opensemcom_harq_refine,640,0,mild
0.9999898274739584,DINOv3,one_vs_rest,0.0,0.9947916666666666,dino_one_vs_rest,640,0,mild
0.9998067220052084,SigLIP2,best_ood:one_vs_rest,0.0,0.9973958333333334,siglip2_best_ood,640,0,mild
1.0,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,640,0,mild
0.99609375,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine,0.0,1.0,opensemcom,896,0,medium
0.999420166015625,dino+siglip2+openclip,learned_risk_head_only,0.0,1.0,opensemcom_risk_head,896,0,medium
0.999847412109375,dino+siglip2+openclip,mixed_open_calibration,0.0,1.0,opensemcom_calibrated,896,0,medium
0.99609375,dino+siglip2+openclip,semantic_harq_refine,0.0,1.0,opensemcom_harq_refine,896,0,medium
0.9997711181640625,DINOv3,one_vs_rest,0.0,0.9947916666666666,dino_one_vs_rest,896,0,medium
0.9997406005859375,SigLIP2,best_ood:one_vs_rest,0.0,0.9973958333333334,siglip2_best_ood,896,0,medium
0.9998779296875,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,896,0,medium
0.9954427083333334,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine,0.0,1.0,opensemcom,1024,0,hard
0.9976654052734375,dino+siglip2+openclip,learned_risk_head_only,0.0,1.0,opensemcom_risk_head,1024,0,hard
0.9985758463541666,dino+siglip2+openclip,mixed_open_calibration,0.0,1.0,opensemcom_calibrated,1024,0,hard
0.9954427083333334,dino+siglip2+openclip,semantic_harq_refine,0.0,1.0,opensemcom_harq_refine,1024,0,hard
0.9998575846354166,DINOv3,one_vs_rest,0.0,0.99609375,dino_one_vs_rest,1024,0,hard
0.9997406005859375,SigLIP2,best_ood:one_vs_rest,0.0,0.99609375,siglip2_best_ood,1024,0,hard
0.9996287027994791,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,1024,0,hard
0.9989270386266095,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine,0.0,1.0,opensemcom,1024,0,extreme
0.9997200970330286,dino+siglip2+openclip,learned_risk_head_only,0.0,1.0,opensemcom_risk_head,1024,0,extreme
0.9999183616346333,dino+siglip2+openclip,mixed_open_calibration,0.0,1.0,opensemcom_calibrated,1024,0,extreme
0.9989270386266095,dino+siglip2+openclip,semantic_harq_refine,0.0,1.0,opensemcom_harq_refine,1024,0,extreme
0.9999416868818809,DINOv3,one_vs_rest,0.0,0.9891304347826086,dino_one_vs_rest,1024,0,extreme
0.9995568203022952,SigLIP2,best_ood:one_vs_rest,0.0,1.0,siglip2_best_ood,1024,0,extreme
0.9999066990110095,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,1024,0,extreme
