accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,goodput_per_resource_proxy,known_id_accuracy,method,open_fraction,refine_rate,refine_threshold,refined,reject_rate,rejected,resource_units_proxy,seed,semantic_goodput,severity,target_openout,threshold
0,0,0.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.0,learned_selective_risk+semantic_harq_refine,0.0,0.0,1.0,opensemcom,0.25,0.6015625,0.24999851042100452,385,0.3984375,255,641.5,0,0.0,mild,openout<=0.01,-1e-06
384,384,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.6,learned_selective_risk+semantic_harq_refine,0.0,0.9340792994405254,1.0,opensemcom,0.25,0.0015625,0.24999951042100452,1,0.3984375,255,411.1,0,0.6,mild,openout<=0.02,0.0
389,384,0.987146529562982,0.012853470437017995,5,0.6,1.0,dino+siglip2+openclip,0.6078125,learned_selective_risk+semantic_harq_refine,0.0,0.9108159392789373,1.0,opensemcom,0.25,0.0078125,0.9499089102242634,5,0.384375,246,421.6,0,0.6,mild,openout<=0.05,0.6999093998032588
396,384,0.9696969696969697,0.030303030303030304,12,0.6,1.0,dino+siglip2+openclip,0.61875,learned_selective_risk+semantic_harq_refine,0.0,0.4883011190233977,1.0,opensemcom,0.25,0.38125,0.9999999264621288,244,0.0,0,786.4000000000001,0,0.6,mild,openout<=0.10,0.9841825880752267
363,363,1.0,0.0,0,0.6,0.99993896484375,dino+siglip2+openclip,0.5671875,learned_risk_head_only,0.0,0.8507147879071948,1.0,opensemcom_risk_head,0.25,0.0375,0.25036557745275784,24,0.3953125,253,426.7,0,0.5671875,mild,openout<=0.01,0.00036659073171904313
379,378,0.9973614775725593,0.002638522427440633,1,0.6,0.99993896484375,dino+siglip2+openclip,0.5921875,learned_risk_head_only,0.0,0.9062574922081035,1.0,opensemcom_risk_head,0.25,0.0125,0.25820226359181125,8,0.3953125,253,417.1,0,0.590625,mild,openout<=0.02,0.008203276870772427
391,384,0.9820971867007673,0.017902813299232736,7,0.6,0.99993896484375,dino+siglip2+openclip,0.6109375,learned_risk_head_only,0.0,0.9101682863237734,1.0,opensemcom_risk_head,0.25,0.00625,0.9749247342348117,4,0.3828125,245,421.9,0,0.6,mild,openout<=0.05,0.7249257475137729
401,384,0.9576059850374065,0.04239401496259352,17,0.6,0.99993896484375,dino+siglip2+openclip,0.6265625,learned_risk_head_only,0.0,0.4901710492724023,1.0,opensemcom_risk_head,0.25,0.3734375,0.9999997019767761,239,0.0,0,783.4000000000001,0,0.6,mild,openout<=0.10,0.9974074113368988
378,378,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.590625,mixed_open_calibration,0.0,0.9115022908126357,1.0,opensemcom_calibrated,0.25,0.0109375,0.3268721650338332,7,0.3984375,255,414.7,0,0.590625,mild,openout<=0.01,0.07687494285718943
378,378,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.590625,mixed_open_calibration,0.0,0.9115022908126357,1.0,opensemcom_calibrated,0.25,0.0109375,0.3268721650338332,7,0.3984375,255,414.7,0,0.590625,mild,openout<=0.02,0.07687494285718943
