accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,goodput_per_resource_proxy,known_id_accuracy,method,open_fraction,refine_rate,refine_threshold,refined,reject_rate,rejected,resource_units_proxy,seed,semantic_goodput,severity,threshold
1,1,1.0,0.0,0,0.28125,0.953125,dino+siglip2+openclip,0.015625,learned_selective_risk+semantic_harq_refine,0.5416666666666666,0.012853470437017995,0.375,opensemcom,0.25,0.734375,0.17586044372962412,47,0.25,16,77.8,0,0.015625,mild,0.054957665623619326
16,4,0.25,0.75,12,0.28125,0.953125,dino+siglip2+openclip,0.25,learned_selective_risk+semantic_harq_refine,0.5416666666666666,0.056899004267425314,0.375,opensemcom,0.25,0.515625,0.18893550263759626,33,0.234375,15,70.30000000000001,0,0.0625,mild,0.06803272453159145
32,13,0.40625,0.59375,19,0.28125,0.953125,dino+siglip2+openclip,0.5,learned_selective_risk+semantic_harq_refine,0.5416666666666666,0.214168039538715,0.375,opensemcom,0.25,0.265625,0.20514619089299813,17,0.234375,15,60.7,0,0.203125,mild,0.08424341278699331
48,18,0.375,0.625,30,0.28125,0.953125,dino+siglip2+openclip,0.75,learned_selective_risk+semantic_harq_refine,0.5416666666666666,0.3327171903881701,0.375,opensemcom,0.25,0.046875,0.2575668148967203,3,0.203125,13,54.099999999999994,0,0.28125,mild,0.13666403679071545
64,18,0.28125,0.71875,46,0.28125,0.953125,dino+siglip2+openclip,1.0,learned_selective_risk+semantic_harq_refine,0.5416666666666666,0.28125,0.375,opensemcom,0.25,0.0,0.6360979368727281,0,0.0,0,64.0,0,0.28125,mild,0.6360979368727281
1,1,1.0,0.0,0,0.28125,0.953125,dino+siglip2+openclip,0.015625,semantic_harq_refine,0.5416666666666666,0.012853470437017995,0.375,opensemcom_harq_refine,0.25,0.734375,0.16546602865576837,47,0.25,16,77.8,0,0.015625,mild,0.05491797101321369
16,4,0.25,0.75,12,0.28125,0.953125,dino+siglip2+openclip,0.25,semantic_harq_refine,0.5416666666666666,0.056899004267425314,0.375,opensemcom_harq_refine,0.25,0.515625,0.1784611356198057,33,0.234375,15,70.30000000000001,0,0.0625,mild,0.06791307797725103
32,13,0.40625,0.59375,19,0.28125,0.953125,dino+siglip2+openclip,0.5,semantic_harq_refine,0.5416666666666666,0.214168039538715,0.375,opensemcom_harq_refine,0.25,0.265625,0.19349549993494683,17,0.234375,15,60.7,0,0.203125,mild,0.08294744229239215
48,18,0.375,0.625,30,0.28125,0.953125,dino+siglip2+openclip,0.75,semantic_harq_refine,0.5416666666666666,0.3327171903881701,0.375,opensemcom_harq_refine,0.25,0.046875,0.24250184407076944,3,0.203125,13,54.099999999999994,0,0.28125,mild,0.13195378642821476
64,18,0.28125,0.71875,46,0.28125,0.953125,dino+siglip2+openclip,1.0,semantic_harq_refine,0.5416666666666666,0.28125,0.375,opensemcom_harq_refine,0.25,0.0,0.5876150404177994,0,0.0,0,64.0,0,0.28125,mild,0.5876150404177994
1,1,1.0,0.0,0,0.65625,0.90625,DINOv3,0.015625,one_vs_rest,0.4583333333333333,0.012610340479192936,0.875,dino_one_vs_rest,0.25,0.75,0.20064981676453716,48,0.234375,15,79.30000000000001,0,0.015625,mild,0.0006482296900631239
16,14,0.875,0.125,2,0.65625,0.90625,DINOv3,0.25,one_vs_rest,0.4583333333333333,0.1991465149359886,0.875,dino_one_vs_rest,0.25,0.515625,0.20692080840198845,33,0.234375,15,70.30000000000001,0,0.21875,mild,0.006919221327514394
32,27,0.84375,0.15625,5,0.65625,0.90625,DINOv3,0.5,one_vs_rest,0.4583333333333333,0.44481054365733114,0.875,dino_one_vs_rest,0.25,0.265625,0.23498743289027138,17,0.234375,15,60.7,0,0.421875,mild,0.03498584581579734
48,39,0.8125,0.1875,9,0.65625,0.90625,DINOv3,0.75,one_vs_rest,0.4583333333333333,0.6830122591943958,0.875,dino_one_vs_rest,0.25,0.078125,0.3660435042544576,5,0.171875,11,57.1,0,0.609375,mild,0.16604191717998354
64,42,0.65625,0.34375,22,0.65625,0.90625,DINOv3,1.0,one_vs_rest,0.4583333333333333,0.65625,0.875,dino_one_vs_rest,0.25,0.0,0.9928287454442515,0,0.0,0,64.0,0,0.65625,mild,0.9928287454442515
